pKa	Source	ROMol	ISO_SMI	marvin_pKa
6.07	DataWarrior	<rdkit.Chem.rdchem.Mol object at 0x7efb6dd75150>	CCOc1ccc2[nH]c(CC(C)C)nc2c1	
8.16	Chembl	<rdkit.Chem.rdchem.Mol object at 0x7efb6e53ec70>	c1cncc(CN2CCCCC2)c1	
5.6	Chembl	<rdkit.Chem.rdchem.Mol object at 0x7efb6e8090e0>	CCC1(C)NC(=O)c2cc(S(=O)(=O)Nc3ccc(OC)cc3)ccc2NC1=O	
8.4	Chembl	<rdkit.Chem.rdchem.Mol object at 0x7efb6e834190>	c1ccc2c(NCCN3CCOCC3)c3[nH]c4ccccc4c3nc2c1	
9.3	Vertex	<rdkit.Chem.rdchem.Mol object at 0x7efb6ea01c40>	CCN1CCCC1CNC(=O)c1cc(S(=O)(=O)CC)c(N)cc1OC	
8.52	DataWarrior	<rdkit.Chem.rdchem.Mol object at 0x7efb6da39b60>	C(=C/C=N/c1ccccc1)\C=C\Nc1ccccc1	
7.5	DataWarrior	<rdkit.Chem.rdchem.Mol object at 0x7efb6dc4b610>	CCCCCCCCCCN(CCO)CC(C)O	
3.54	Chembl	<rdkit.Chem.rdchem.Mol object at 0x7efb6e6df760>	COc1ccc(CCNCC(O)COc2ccc(-c3nc(CN4CCOCC4)c[nH]3)cc2)cc1OC	
2.5	Chembl	<rdkit.Chem.rdchem.Mol object at 0x7efb6e5df450>	N#Cc1ccc(Nc2nc(Cc3c(Cl)cccc3Cl)nc(NO)n2)cc1	
6.9	DataWarrior	<rdkit.Chem.rdchem.Mol object at 0x7efb6e1e17e0>	O=c1ccc2ccc(O)c(O)c2o1	
8.46	Chembl	<rdkit.Chem.rdchem.Mol object at 0x7efb6e6f09e0>	Nc1ncc[nH]1	
3.2	Chembl	<rdkit.Chem.rdchem.Mol object at 0x7efb6e795d90>	CC#CC(=O)c1c(C)nc2c3c(c(C(=O)N(C)C)cn12)CCC(c1ccccc1)O3	
3.99	DataWarrior	<rdkit.Chem.rdchem.Mol object at 0x7efb6e23e0a0>	Cn1c(CBr)nc2c(O)ccc(O)c21	
7.79	Chembl	<rdkit.Chem.rdchem.Mol object at 0x7efb6e564f90>	NC(=O)c1ccc[n+](Cc2ccccc2C[n+]2ccccc2/C=N/O)c1.[Br-].[Br-]	
6.41	Chembl	<rdkit.Chem.rdchem.Mol object at 0x7efb6e566c00>	COc1cccc(C(=O)NCCN2CCN(c3ccc(C#N)cc3)CC2)c1	
4.75	DataWarrior	<rdkit.Chem.rdchem.Mol object at 0x7efb6e5c8dd0>	CSc1ccc2ncccc2c1	
10.94	DataWarrior	<rdkit.Chem.rdchem.Mol object at 0x7efb6e4e6ce0>	Cc1ccc(/C=N/O)cc1	
10.8	Novartis	<rdkit.Chem.rdchem.Mol object at 0x7efb6e527140>	Nc1cccc2c1C(=O)N(C1CCC(=O)NC1=O)C2=O	11.6
5.04	Chembl	<rdkit.Chem.rdchem.Mol object at 0x7efb6e6c2ce0>	C[C@H]([C@H]1C[C@H]1C(=O)O)[C@H]1CC[C@H]2[C@@H]3[C@@H](O)CC4C[C@H](O)CC[C@]4(C)[C@H]3CC[C@]12C	
9.2	Chembl	<rdkit.Chem.rdchem.Mol object at 0x7efb6eaa0350>	COc1ccc(C(CN(C)C)C2(O)CCCCC2)cc1	
6.3	Morgenthaler	<rdkit.Chem.rdchem.Mol object at 0x7efb6ea22180>	CC[C@@H]1[C@@H]2[C@H](C(=O)N1Cc1ccc(F)cc1)[C@H](c1ccc(C(=N)N)cc1)N1CCC[C@@H]21	
3.56	DataWarrior	<rdkit.Chem.rdchem.Mol object at 0x7efb6e3fa500>	CCCCCCCC[NH2+]CCC(=O)O	
9.6	DataWarrior	<rdkit.Chem.rdchem.Mol object at 0x7efb6eaa7ae0>	[O-]c1cc[nH+]cc1O	
9.5	Chembl	<rdkit.Chem.rdchem.Mol object at 0x7efb6e64f0d0>	CN(C)CCCOc1cc2c(cc1O)c1c3c(c(-c4ccccc4Cl)cc1n2C)C(=O)NC3=O	
4.02	Chembl	<rdkit.Chem.rdchem.Mol object at 0x7efb6e6df140>	COc1ccc(CCNCC(O)COc2ccc(-c3nc(-c4cccs4)c[nH]3)cc2Cl)cc1OC	
3.86	DataWarrior	<rdkit.Chem.rdchem.Mol object at 0x7efb6da7de70>	COc1ccc(/C=N/c2ncc3nc[nH]c3n2)cc1	
6.76	DataWarrior	<rdkit.Chem.rdchem.Mol object at 0x7efb6e37ab20>	Cc1ccc(C2CN2)cc1	
6.86	Chembl	<rdkit.Chem.rdchem.Mol object at 0x7efb6e509380>	Nc1cccc(Cn2c(-c3ccc(Oc4ccncc4)cc3)ccc2-c2ccccc2Cl)n1	
7.4	Chembl	<rdkit.Chem.rdchem.Mol object at 0x7efb6e594900>	CCN(CCCN1CCc2cc(OC)ccc2C1)S(=O)(=O)c1ccc(OC)cc1	
6.45	DataWarrior	<rdkit.Chem.rdchem.Mol object at 0x7efb6dc48a50>	Cc1cnc2c(cc(C)c3c(C)ccnc32)c1C	
3.93	DataWarrior	<rdkit.Chem.rdchem.Mol object at 0x7efb6e5c9d20>	C[NH+]1[C@H]2CC=C(C(=O)O)[C@@H]1CC2	
7.7	Chembl	<rdkit.Chem.rdchem.Mol object at 0x7efb6e766110>	Cc1cc(F)ccc1-c1c(Cc2ccc(/C=C/C(=O)O)cc2)c2ccc(O)cc2oc1=O	
4.41	Chembl	<rdkit.Chem.rdchem.Mol object at 0x7efb6e666b20>	COC(=O)N(C)COC(=O)C(C)c1ccc(CC(C)C)cc1	
5.48	DataWarrior	<rdkit.Chem.rdchem.Mol object at 0x7efb6e2cb0d0>	Sc1ccc(Cl)c(Cl)c1	
9.9	Chembl	<rdkit.Chem.rdchem.Mol object at 0x7efb6e8f2960>	Oc1ccc(C(O)C2CCCCN2)cc1O	
8.5	Chembl	<rdkit.Chem.rdchem.Mol object at 0x7efb6e751f50>	FC1(F)CCNCC1	
6.22	Chembl	<rdkit.Chem.rdchem.Mol object at 0x7efb6e69af80>	Cc1cccc2c1[C@H](Oc1cc(C(=O)N(C)C)cn3c(C)c(C)nc13)[C@@H](O)C2	
3.8	Novartis	<rdkit.Chem.rdchem.Mol object at 0x7efb6e527920>	O=C(Nc1ccc(F)c(Cl)c1)C1CCN(c2ncccn2)CC1	3.23
4.44	DataWarrior	<rdkit.Chem.rdchem.Mol object at 0x7efb6e8bb7d0>	Cc1cccc(/C=C/C(=O)O)c1	
4.4	DataWarrior	<rdkit.Chem.rdchem.Mol object at 0x7efb6e1575a0>	CSc1ccc(N)cc1	
9.24	Luan	<rdkit.Chem.rdchem.Mol object at 0x7efb6ea47d80>	CCN(CC)CCNC(=O)c1ccc(N)cc1	
6.55	Chembl	<rdkit.Chem.rdchem.Mol object at 0x7efb6ea71690>	COCCc1ccc(OCC(O)CNC(C)C)cc1	
10.11	DataWarrior	<rdkit.Chem.rdchem.Mol object at 0x7efb6e2cb610>	Cc1cc(O)ccc1O	
1.45	DataWarrior	<rdkit.Chem.rdchem.Mol object at 0x7efb6e23e3b0>	Cc1cc(=O)n(-c2ccccc2)n1C	
7.54	Chembl	<rdkit.Chem.rdchem.Mol object at 0x7efb6e67f6f0>	CCCCCS(=O)(=O)Nc1ccc(Nc2c3ccccc3nc3cc(NC(C)=O)ccc23)c(OC)c1.Cl	
4.54	DataWarrior	<rdkit.Chem.rdchem.Mol object at 0x7efb6df8fdf0>	O=C(O)CCCc1cccs1	
6.63	DataWarrior	<rdkit.Chem.rdchem.Mol object at 0x7efb6da39ee0>	NS(=O)(=O)c1ccc(/N=C/c2ccccc2O)cc1	
7.75	DataWarrior	<rdkit.Chem.rdchem.Mol object at 0x7efb6e23e7a0>	OC(CN1CCCC1)C[NH+]1CCCC1	
5.2	Chembl	<rdkit.Chem.rdchem.Mol object at 0x7efb6e8ad0e0>	CC(C)C1=NC(c2ccccc2)(c2cccc(-c3cncnc3)c2)N=C1N	
7.65	DataWarrior	<rdkit.Chem.rdchem.Mol object at 0x7efb6e107bc0>	CC1(C)NC(=S)NC1=S	
4.84	DataWarrior	<rdkit.Chem.rdchem.Mol object at 0x7efb6db62f80>	Oc1c(Cl)cc(Cl)c(Cl)c1C[NH+]1CCOCC1	
8.9	DataWarrior	<rdkit.Chem.rdchem.Mol object at 0x7efb6e3328f0>	CCN(CCO)CC(C)O	
3.57	DataWarrior	<rdkit.Chem.rdchem.Mol object at 0x7efb6e628200>	Cc1ccc(SCC(=O)O)cc1	
8.28	Liao	<rdkit.Chem.rdchem.Mol object at 0x7efb6ea626c0>	COc1cc2c(cc1OC)[C@@]13CCN4CC5=CCOC6CC(=O)N2C1[C@@H]6[C@@H]5C[C@@H]43	
10.5	Chembl	<rdkit.Chem.rdchem.Mol object at 0x7efb6e64f6f0>	Cn1c2cc(CCCCN3CCCC3)c(O)cc2c2c3c(c(-c4ccccc4Cl)cc21)C(=O)NC3=O	
9.47	DataWarrior	<rdkit.Chem.rdchem.Mol object at 0x7efb6dd757e0>	O=C1CNC(=O)[C@H](Cc2ccc(O)cc2)N1	
7.63	Chembl	<rdkit.Chem.rdchem.Mol object at 0x7efb6ea377d0>	CN1CCN(C2=Nc3cc(Cl)ccc3Nc3ccccc32)CC1	
7.1	Chembl	<rdkit.Chem.rdchem.Mol object at 0x7efb6e6c13f0>	COc1cc(C2(c3cccc(-c4cncnc4)c3)N=C(N)c3c(F)cccc32)ccn1	
2.08	DataWarrior	<rdkit.Chem.rdchem.Mol object at 0x7efb6e3326c0>	[NH3+][C@@H](CCC(=O)O)C(=O)O	
6.0	DataWarrior	<rdkit.Chem.rdchem.Mol object at 0x7efb6dafcf90>	Cn1c(=O)c2c([nH]c(=O)n2C)n(C)c1=O	
6.74	Chembl	<rdkit.Chem.rdchem.Mol object at 0x7efb6e795af0>	Cc1nc2c3c(c(C(=O)N(C)C)cn2c1C)CCC(c1ccc(F)cc1)O3	
4.1	Chembl	<rdkit.Chem.rdchem.Mol object at 0x7efb6e596570>	O=C(O)Cc1ccccc1Nc1ccccc1	
2.5	Chembl	<rdkit.Chem.rdchem.Mol object at 0x7efb6e864190>	Cc1onc(O)c1CC(N)C(=O)O	
6.9	Chembl	<rdkit.Chem.rdchem.Mol object at 0x7efb6e8f3df0>	COc1cc2nc(N3CCN(C(=O)C4COc5ccccc5O4)CC3)nc(N)c2cc1OC	
6.0	Chembl	<rdkit.Chem.rdchem.Mol object at 0x7efb6e794ac0>	C[C@H](NC(=O)c1nccc(O)c1O)C(=O)NCc1ccccc1.Cl	
4.03	Chembl	<rdkit.Chem.rdchem.Mol object at 0x7efb6e6c3680>	Cc1c(-c2ccc(=O)n(Cc3ccccc3)n2)c2cc(Cl)ccc2n1CC(=O)O	
8.7	Chembl	<rdkit.Chem.rdchem.Mol object at 0x7efb6e809230>	CCC1(C)NC(=O)c2cc(S(=O)(=O)Nc3ccccc3)ccc2NC1=O	
6.99	DataWarrior	<rdkit.Chem.rdchem.Mol object at 0x7efb6dabe2d0>	OCc1cc(-c2ccccc2)nnc1NCCN1CCOCC1	
12.02	DataWarrior	<rdkit.Chem.rdchem.Mol object at 0x7efb6e4a82e0>	C1CNCCSCCNC1	
4.4	Novartis	<rdkit.Chem.rdchem.Mol object at 0x7efb6eab6b20>	COc1ccc(-c2cnc3c(-c4cccc5ncccc45)cnn3c2)cc1	4.28
10.58	DataWarrior	<rdkit.Chem.rdchem.Mol object at 0x7efb6d9921f0>	CN1CCCC1	
10.25	DataWarrior	<rdkit.Chem.rdchem.Mol object at 0x7efb6dbe7290>	CS(=O)(=O)c1ccc(S(=O)(=O)NCc2ccccc2)cc1	
8.11	DataWarrior	<rdkit.Chem.rdchem.Mol object at 0x7efb6e3f8820>	CC[NH+](CC)Cc1cc(Cl)ccc1O	
9.66	DataWarrior	<rdkit.Chem.rdchem.Mol object at 0x7efb6e4e4890>	NCCc1ccc(Cl)cc1	
3.96	DataWarrior	<rdkit.Chem.rdchem.Mol object at 0x7efb6e23d310>	Clc1ccc(-c2ccc(Cl)cn2)nc1	
9.51	Chembl	<rdkit.Chem.rdchem.Mol object at 0x7efb6e8235a0>	Fc1ccc([C@@H]2CCNC[C@H]2COc2ccc3c(c2)OCO3)cc1	
7.5	Chembl	<rdkit.Chem.rdchem.Mol object at 0x7efb6e5523b0>	CCCCCCCNc1c2ccc(Cl)cc2nc2ccc(OC)cc12	
8.69	DataWarrior	<rdkit.Chem.rdchem.Mol object at 0x7efb6dbe7370>	O=C(CCNCCC(=O)c1ccccc1)c1ccccc1	
11.1	Chembl	<rdkit.Chem.rdchem.Mol object at 0x7efb6e666260>	O=C(O)CN[C@H](CC1CCCCC1)C(=O)N(CC(=O)ONCCC1CCNCC1)C1CCCC1	
5.7	DataWarrior	<rdkit.Chem.rdchem.Mol object at 0x7efb6dba7c30>	CCCCCCCCCCCCCCN(CC(O)CC)CC(O)CC	
10.5	Chembl	<rdkit.Chem.rdchem.Mol object at 0x7efb6e64f3e0>	Cn1c2cc(S(=O)(=O)CCCN3CCCC3)c(O)cc2c2c3c(c(-c4ccccc4Cl)cc21)C(=O)NC3=O	
8.02	DataWarrior	<rdkit.Chem.rdchem.Mol object at 0x7efb6d9dcba0>	CC(N)C(N)=O	
9.17	Chembl	<rdkit.Chem.rdchem.Mol object at 0x7efb6ea72d50>	CC(C)NCC(O)COc1cccc2ccccc12	
4.73	DataWarrior	<rdkit.Chem.rdchem.Mol object at 0x7efb6d94b060>	Nc1ccc2c(c1)Cc1cccc(O)c1-2	
3.37	DataWarrior	<rdkit.Chem.rdchem.Mol object at 0x7efb6ddb9bd0>	CCC(CC)C(=O)O[C@H]1O[C@@H](C(=O)O)[C@H](O)[C@@H](O)[C@@H]1O	
10.69	DataWarrior	<rdkit.Chem.rdchem.Mol object at 0x7efb6dcd1000>	COC(=O)[C@H]1[C@@H]2Cc3c4[nH]c5ccccc5c4cc[n+]3C[C@H]2CC[C@H]1O	
6.99	DataWarrior	<rdkit.Chem.rdchem.Mol object at 0x7efb6dafd9a0>	CC[C@@H]1C(=O)OC[C@@H]1Cc1cncn1C	
2.1	Chembl	<rdkit.Chem.rdchem.Mol object at 0x7efb6ea706d0>	CN(C)CCCN1c2ccccc2CCc2ccccc21	
9.47	Chembl	<rdkit.Chem.rdchem.Mol object at 0x7efb6e866ea0>	COc1ccc(F)cc1CNCCCNc1ccnc2cc(-c3ccc(F)cc3)ccc12	
8.9	Chembl	<rdkit.Chem.rdchem.Mol object at 0x7efb6e64c7b0>	CCN1C(=O)c2ccccc2S1(=N)=O	
7.4	Chembl	<rdkit.Chem.rdchem.Mol object at 0x7efb6e6c1150>	Cc1cc(C2(c3cccc(-c4cncnc4)c3)N=C(N)c3c(F)cccc32)cn(C)c1=O	
3.01	DataWarrior	<rdkit.Chem.rdchem.Mol object at 0x7efb6e817840>	CCCC[As](=O)(O)O	
2.16	DataWarrior	<rdkit.Chem.rdchem.Mol object at 0x7efb6e7c51c0>	Cn1cnc2ncn(C)c2c1=O	
6.5	Chembl	<rdkit.Chem.rdchem.Mol object at 0x7efb6e71cba0>	CCOC(=O)[C@@H](N)CS	
9.21	Chembl	<rdkit.Chem.rdchem.Mol object at 0x7efb6e822f80>	CN(C)CCCN1c2ccccc2Sc2ccc(C(F)(F)F)cc21	
8.0	DataWarrior	<rdkit.Chem.rdchem.Mol object at 0x7efb6e286ab0>	CC(C)CC(N)C(N)=O	
9.92	Chembl	<rdkit.Chem.rdchem.Mol object at 0x7efb6e64e490>	NC(Cc1cc(I)c(Oc2ccc(O)c(CO)c2)c(I)c1)C(=O)O	
8.53	DataWarrior	<rdkit.Chem.rdchem.Mol object at 0x7efb6d860cf0>	CCC(N)CCCl	
4.23	Chembl	<rdkit.Chem.rdchem.Mol object at 0x7efb6e77c200>	Cc1ccc2ccn3ccnc3c2n1	
10.2	Chembl	<rdkit.Chem.rdchem.Mol object at 0x7efb6e7f5310>	Oc1cccc(/C=N/NC(=S)NC2CCCCC2)c1	
10.23	Chembl	<rdkit.Chem.rdchem.Mol object at 0x7efb6ea838b0>	CCN(CC)CCN1C(=O)Nc2ccccc2C1c1ccccc1	
7.85	Chembl	<rdkit.Chem.rdchem.Mol object at 0x7efb6e77f450>	CCCNCc1cc2cc(S(N)(=O)=O)oc2s1	
8.18	Chembl	<rdkit.Chem.rdchem.Mol object at 0x7efb6ea71cb0>	CN1CC[C@]23c4c5ccc(O)c4O[C@H]2[C@@H](O)C=C[C@H]3[C@H]1C5	
3.42	Chembl	<rdkit.Chem.rdchem.Mol object at 0x7efb6e5ade00>	CCN(CC)Cc1cc(Nc2ccnc3cc(Cl)ccc23)c(F)c(F)c1O	
9.5	Chembl	<rdkit.Chem.rdchem.Mol object at 0x7efb6e665af0>	Cc1cc(C)cc(NC2=C(NS(C)(=O)=O)C(=O)c3ccccc3C2=O)c1	
6.6	DataWarrior	<rdkit.Chem.rdchem.Mol object at 0x7efb6dd742e0>	Cc1cc(N)nc(Nc2ccc(Cl)cc2)n1	
9.47	Chembl	<rdkit.Chem.rdchem.Mol object at 0x7efb6e8783c0>	COc1cccc(CNCCCNc2ccnc3cc(CC4CCCCC4)ccc23)c1O	
3.9	Chembl	<rdkit.Chem.rdchem.Mol object at 0x7efb6e71f7d0>	CCC(c1ccccc1)N(CC)c1ncc(O)cn1	
4.2	Chembl	<rdkit.Chem.rdchem.Mol object at 0x7efb6e409620>	Fc1ccc(CN(Cc2nnn[nH]2)c2ccccc2)cc1	
6.6	Chembl	<rdkit.Chem.rdchem.Mol object at 0x7efb6e6f3610>	CC(=O)N[C@@H](Cc1cc(F)cc(F)c1)[C@H](O)CNC1(c2cccc(C(C)(C)C)c2)CC1	
8.15	DataWarrior	<rdkit.Chem.rdchem.Mol object at 0x7efb6e0fa880>	O=C1C[C@H]2C(=O)NC(=O)[C@H]2N1	
4.7	Novartis	<rdkit.Chem.rdchem.Mol object at 0x7efb6e524f20>	Cc1cc(C)nc(N2CCC3(CCCN(Cc4nn(C)nc4-c4ccccc4)C3=O)CC2)n1	5.0
3.3	Chembl	<rdkit.Chem.rdchem.Mol object at 0x7efb6e6dff40>	COc1ccc(CCNCC(O)COc2ccc(-c3nc(Br)c[nH]3)cc2Cl)cc1OC	
4.6	Chembl	<rdkit.Chem.rdchem.Mol object at 0x7efb6e864cf0>	Cc1cc2c(-c3ccccn3)c[nH]c2c(C(=O)Nc2ccn(C)n2)n1	
11.48	DataWarrior	<rdkit.Chem.rdchem.Mol object at 0x7efb6d993450>	CCSC(O)O	
8.6	Chembl	<rdkit.Chem.rdchem.Mol object at 0x7efb6e80a420>	NS(=O)(=O)c1cc2c(s1)SCCC2=O	
9.0	Chembl	<rdkit.Chem.rdchem.Mol object at 0x7efb6e836f80>	CN1CC[C@]23c4c5ccc(O)c4O[C@H]2[C@@H](O[C@@H]2O[C@H](C(=O)O)[C@@H](O)[C@H](O)[C@H]2O)C=C[C@H]3[C@H]1C5	
7.98	DataWarrior	<rdkit.Chem.rdchem.Mol object at 0x7efb6db63c30>	COc1ccc(O)c(/N=N/c2nc(C)cs2)c1	
9.33	DataWarrior	<rdkit.Chem.rdchem.Mol object at 0x7efb6e0b1c40>	CC(C)(C)N1NC2CCC1C21CC1	
3.6	DataWarrior	<rdkit.Chem.rdchem.Mol object at 0x7efb6eaa51c0>	CC(=O)n1ccnc1	
8.7	DataWarrior	<rdkit.Chem.rdchem.Mol object at 0x7efb6db18cf0>	CCc1ccc(OC)c(C(=O)NC[C@H]2CCC[NH+]2CC)c1O	
5.96	DataWarrior	<rdkit.Chem.rdchem.Mol object at 0x7efb6dd297e0>	Cc1cc(C)c2ccc3cccnc3c2n1	
2.35	DataWarrior	<rdkit.Chem.rdchem.Mol object at 0x7efb6d81cf20>	NCC(=O)O	
8.62	DataWarrior	<rdkit.Chem.rdchem.Mol object at 0x7efb6e46cb30>	COc1ccc(O)c(Br)c1	
6.65	Chembl	<rdkit.Chem.rdchem.Mol object at 0x7efb6eac3df0>	C[C@H]1[C@H](N)CN1c1c(F)c(N)c2c(=O)c(C(=O)O)cn(C3CC3)c2c1F	
8.5	Chembl	<rdkit.Chem.rdchem.Mol object at 0x7efb6eaa2ff0>	C=C[C@H]1CN2CC[C@H]1C[C@H]2[C@H](O)c1ccnc2ccc(OC)cc12	
7.5	Chembl	<rdkit.Chem.rdchem.Mol object at 0x7efb6e666570>	Nc1n[nH]c(CCNOC(=O)CN(C(=O)[C@@H](CC2CCCCC2)NCC(=O)O)C2CCCC2)n1	
2.86	DataWarrior	<rdkit.Chem.rdchem.Mol object at 0x7efb6e4e7df0>	O=C(O)c1cc[n+]([O-])cc1	
7.94	Chembl	<rdkit.Chem.rdchem.Mol object at 0x7efb6e50b8b0>	O/N=C/c1nc(Cc2ccccc2)no1	
7.8	Chembl	<rdkit.Chem.rdchem.Mol object at 0x7efb6e6c2810>	C[C@H]1SC(N)=N[C@@]2(c3ccc(F)cc3F)CO[C@@H](c3cnn(C)c3)C[C@@H]12	
9.1	Chembl	<rdkit.Chem.rdchem.Mol object at 0x7efb6ea72340>	CC(CN1c2ccccc2Sc2ccccc21)N(C)C	
6.07	Chembl	<rdkit.Chem.rdchem.Mol object at 0x7efb6e67fd80>	CCS(=O)(=O)Nc1ccc(Nc2c3ccccc3nc3ncccc23)c(OC)c1.Cl	
5.87	DataWarrior	<rdkit.Chem.rdchem.Mol object at 0x7efb6e4a9a80>	CC(=O)Nc1ccncc1	
10.71	DataWarrior	<rdkit.Chem.rdchem.Mol object at 0x7efb6dee5e70>	COc1ccc(/C(=C\C(=O)c2ccc(S(=O)(=O)[O-])cc2)CC(=O)c2ccc(S(=O)(=O)[O-])cc2)cc1S(=O)(=O)[O-]	
10.0	Chembl	<rdkit.Chem.rdchem.Mol object at 0x7efb6e6deb20>	Cc1nc(N2CC[C@H](N3CCC[C@@H]3C)C2)ccc1NS(=O)(=O)c1ccc(F)c(F)c1	
8.78	Chembl	<rdkit.Chem.rdchem.Mol object at 0x7efb6e67e1f0>	CCCN1C[C@H](CSC)C[C@@H]2c3cccc4[nH]cc(c34)C[C@H]21	
4.2	Chembl	<rdkit.Chem.rdchem.Mol object at 0x7efb6e53fae0>	Cc1nc(N)ncc1CNC(=O)Cn1c(C)cnc(NCCc2ccccc2)c1=O	
5.2	Chembl	<rdkit.Chem.rdchem.Mol object at 0x7efb6e84c2e0>	O=S(=O)(Nc1cncc(C(F)(F)F)c1)c1ccccc1C(F)(F)F	
