ID	pKa	marvin_pKa	marvin_atom	marvin_pKa_type	original_dataset
851127	7.92	7.07	17	acidic	['chembl25']
844024	7.99	7.05	20	acidic	['chembl25']
7604	4.2	4.36	2	acidic	['datawarrior']
344	4.6	4.54	2	acidic	['datawarrior']
2571	4.58	4.67	2	acidic	['datawarrior']
2629	10.74	10.2	0	basic	['datawarrior']
421	10.64	10.2	0	basic	['datawarrior']
7677	10.5	10.2	0	basic	['datawarrior']
2639	9.24	9.78	0	basic	['datawarrior']
849989	7.93	7.91	0	acidic	['chembl25']
859093	8.06	9.53	17	acidic	['chembl25']
832056	8.18	9.4	14	acidic	['chembl25']
838029	8.23	9.41	16	acidic	['chembl25']
829765	7.34	6.11	14	acidic	['chembl25']
7419	10.21	10.17	0	basic	['datawarrior']
428	8.88	9.78	0	basic	['datawarrior']
840409	8.2	7.06	15	acidic	['chembl25']
7542	9.23	9.87	0	basic	['datawarrior']
7687	8.33	9.25	0	basic	['datawarrior']
834394	8.18	7.86	0	acidic	['chembl25']
836727	7.84	7.14	17	acidic	['chembl25']
838045	7.99	6.95	14	acidic	['chembl25']
7254	8.19	8.97	0	basic	['datawarrior']
7429	7.05	8.52	0	basic	['datawarrior']
2062777	8.015	8.67	9	basic	['chembl25']
555800	10.1	7.84	13	basic	['chembl25']
2397260	9.3	9.82	0	basic	['chembl25']
2397264	9.4	9.82	12	basic	['chembl25']
2143	5.44	6.07	10	basic	['datawarrior']
3122	5.54	6.62	5	basic	['datawarrior']
7681	6.08	8.05	0	basic	['datawarrior']
7525	5.46	7.96	1	basic	['datawarrior']
1622	3.06	2.92	0	basic	['datawarrior']
835573	8.01	6.86	13	acidic	['chembl25']
602489	7.6	7.3	10	basic	['chembl25']
7101	9.53	9.97	9	basic	['datawarrior']
7102	8.99	9.97	9	basic	['datawarrior']
2512	9.73	10.05	9	basic	['datawarrior']
2513	9.29	10.05	9	basic	['datawarrior']
7100	9.22	9.97	9	basic	['datawarrior']
2511	9.63	10.05	9	basic	['datawarrior']
4732	9.18	9.5	1	acidic	['datawarrior']
2062632	7.47	8.1	12	basic	['chembl25']
2467	5.97	5.29	0	basic	['datawarrior']
2466	5.77	5.29	0	basic	['datawarrior']
2468	4.55	2.67	0	basic	['datawarrior']
6986	6.3	7.91	0	basic	['datawarrior']
7623	3.05	3.32	6	acidic	['datawarrior']
7624	4.03	3.62	6	acidic	['datawarrior']
346	2.67	2.8	2	acidic	['datawarrior']
342	4.72	4.98	2	acidic	['datawarrior']
582359	11.0	8.51	6	basic	['chembl25']
834358	8.07	7.0	14	acidic	['chembl25']
617708	7.7	7.3	11	basic	['chembl25']
6859	8.5	7.58	15	basic	['datawarrior']
839179	8.04	7.0	14	acidic	['chembl25']
4423	6.42	6.41	3	basic	['datawarrior']
1099	10.23	7.95	3	basic	['datawarrior']
1073	10.0	10.01	3	basic	['datawarrior']
2920	9.97	10.08	3	basic	['datawarrior']
6022	9.1	8.72	0	basic	['datawarrior']
3737	8.92	8.26	8	basic	['datawarrior']
6061	7.23	6.74	11	basic	['datawarrior']
6060	7.4	6.87	11	basic	['datawarrior']
333	9.82	10.45	0	basic	['datawarrior']
982828	6.48	4.45	3	basic	['chembl25']
977614	6.99	5.96	1	basic	['chembl25']
4591	7.94	8.63	1	basic	['datawarrior']
3395157	11.0	10.33	7	basic	['chembl25']
336	11.74	10.96	0	basic	['datawarrior']
3902	6.05	9.34	0	basic	['datawarrior']
3904	10.8	11.65	0	basic	['datawarrior']
3909	10.7	10.91	0	basic	['datawarrior']
2028	10.95	10.48	0	basic	['datawarrior']
2039	10.9	10.66	0	basic	['datawarrior']
12099899	10.94	10.66	4	basic	['datawarrior', 'chembl25']
191	10.78	10.69	0	basic	['datawarrior']
1991	7.16	7.19	1	basic	['datawarrior']
1037	7.09	7.72	1	basic	['datawarrior']
1990	6.79	7.19	1	basic	['datawarrior']
12099897	11.285	11.4	3	basic	['datawarrior', 'chembl25']
2572878	11.18	10.4	3	basic	['datawarrior', 'chembl25']
6003	6.12	4.38	1	basic	['datawarrior']
7156	6.03	4.38	1	basic	['datawarrior']
2048	5.88	6.79	5	basic	['datawarrior']
4749	6.05	8.03	0	basic	['datawarrior']
334	11.04	10.9	0	basic	['datawarrior']
329	7.95	6.33	1	basic	['datawarrior']
1364	9.44	9.8	6	basic	['datawarrior']
2727	11.7	9.51	0	basic	['datawarrior']
12099900	10.995	10.76	2	basic	['datawarrior', 'chembl25']
874677	9.26	7.11	4	basic	['chembl25']
12099905	8.4825	8.5	5	basic	['datawarrior', 'chembl25']
5452	9.55	8.63	8	acidic	['datawarrior']
7313	9.05	9.33	5	basic	['datawarrior']
7597	6.31	8.6	3	basic	['datawarrior']
3739	5.01	7.32	4	basic	['datawarrior']
618950	7.6	7.3	11	basic	['chembl25']
6429	7.72	6.98	15	basic	['datawarrior']
2289	9.37	9.25	11	basic	['datawarrior']
1315	8.51	8.72	9	basic	['datawarrior']
1314	9.25	9.29	9	basic	['datawarrior']
4084	8.54	8.5	8	basic	['datawarrior']
3197	9.37	9.04	8	basic	['datawarrior']
7332	4.66	4.66	2	acidic	['datawarrior']
1338	7.96	8.64	9	basic	['datawarrior']
2301	8.65	9.2	9	basic	['datawarrior']
1897	9.62	10.13	9	basic	['datawarrior']
2649	8.7	9.22	8	basic	['datawarrior']
4603	8.77	9.52	8	basic	['datawarrior']
4111	8.06	8.41	8	basic	['datawarrior']
2295	8.27	8.92	8	basic	['datawarrior']
3209	8.66	8.96	8	basic	['datawarrior']
1891	8.96	9.3	8	basic	['datawarrior']
1329	9.13	9.47	8	basic	['datawarrior']
4110	9.15	9.38	8	basic	['datawarrior']
3208	8.91	9.66	8	basic	['datawarrior']
3207	9.12	9.52	8	basic	['datawarrior']
4127	3.42	4.03	2	acidic	['datawarrior']
7466	8.0	8.85	2	basic	['datawarrior']
828584	7.91	7.21	15	acidic	['chembl25']
562838	10.9	8.76	7	basic	['chembl25']
840388	8.03	6.98	15	acidic	['chembl25']
571474	10.71	8.54	6	basic	['chembl25']
862490	7.99	7.18	14	acidic	['chembl25']
6781	4.6	4.35	18	acidic	['datawarrior']
399493	3.5	2.8	14	acidic	['chembl25']
2579	4.8	4.95	2	acidic	['datawarrior']
7342	2.55	2.72	5	acidic	['datawarrior']
2397261	9.4	9.82	13	basic	['chembl25']
7633	3.38	3.63	2	acidic	['datawarrior']
552	3.4	4.34	8	acidic	['datawarrior']
4768	8.35	9.22	20	basic	['datawarrior']
1840	4.55	4.64	2	acidic	['datawarrior']
7326	3.96	3.76	2	acidic	['datawarrior']
851110	8.03	6.9	14	acidic	['chembl25']
345	3.41	3.99	2	acidic	['datawarrior']
3198	9.39	9.25	10	basic	['datawarrior']
4596	10.09	9.81	10	basic	['datawarrior']
4083	9.23	9.29	8	basic	['datawarrior']
7490	4.25	4.52	2	acidic	['datawarrior']
14691541	8.25	8.41	1	basic	['datawarrior', 'chembl25']
1339	8.55	8.96	7	basic	['datawarrior']
4093	11.3	10.39	0	basic	['datawarrior']
4097	10.1	9.5	0	basic	['datawarrior']
4098	10.8	10.31	0	basic	['datawarrior']
753	4.88	4.42	0	basic	['datawarrior']
507094	9.67	9.96	4	basic	['chembl25']
833226	7.94	7.27	15	acidic	['chembl25']
4096	11.3	10.31	0	basic	['datawarrior']
4397	4.57	4.47	0	basic	['datawarrior']
854507	7.99	7.19	14	acidic	['chembl25']
851472	3.5	3.77	0	acidic	['chembl25']
3392	10.6	8.53	4	basic	['datawarrior']
5634	8.1	9.52	11	basic	['datawarrior']
6045	8.5	9.52	10	basic	['datawarrior']
5281	7.8	9.52	12	basic	['datawarrior']
4601	9.85	9.52	8	basic	['datawarrior']
1347	9.71	10.07	5	basic	['datawarrior']
949049	4.74	7.73	12	acidic	['chembl25']
3663	6.1	7.57	4	acidic	['datawarrior']
7602	4.68	4.89	2	acidic	['datawarrior']
586099	11.2	8.72	14	basic	['chembl25']
846504	7.97	7.06	14	acidic	['chembl25']
7252	9.74	9.66	0	basic	['datawarrior']
7427	8.72	9.05	0	basic	['datawarrior']
98754	8.18	9.41	1	basic	['chembl25']
3210	7.39	8.05	8	basic	['datawarrior']
559443	10.7	8.47	13	basic	['chembl25']
562834	10.42	8.17	13	basic	['chembl25']
1332	8.2	8.87	4	basic	['datawarrior']
2170936	9.5	9.82	12	basic	['chembl25']
1162	6.16	7.57	4	basic	['datawarrior']
2397262	9.4	9.82	0	basic	['chembl25']
1874	8.31	8.23	0	basic	['datawarrior']
4602	7.02	7.7	8	basic	['datawarrior']
3015	9.66	9.41	0	basic	['datawarrior']
3121	7.05	7.13	5	basic	['datawarrior']
7679	9.35	9.15	0	basic	['datawarrior']
1620	4.17	4.54	0	basic	['datawarrior']
836737	8.04	7.08	13	acidic	['chembl25']
3524	4.45	4.36	2	acidic	['datawarrior']
15446302	9.523333	9.66	3	basic	['chembl25']
597556	7.5	7.3	10	basic	['chembl25']
4352	10.5	7.04	4	acidic	['datawarrior']
530	10.0	9.94	5	acidic	['datawarrior']
15460201	9.527143	9.66	3	basic	['datawarrior', 'chembl25']
403829	9.56	6.83	11	acidic	['chembl25']
399574	9.33	6.46	8	acidic	['chembl25']
295	10.25	8.64	3	acidic	['datawarrior']
2509	9.98	10.17	9	basic	['datawarrior']
2510	9.51	10.17	9	basic	['datawarrior']
2508	9.83	10.17	9	basic	['datawarrior']
3007	5.67	5.56	0	basic	['datawarrior']
2806	9.91	9.56	0	acidic	['datawarrior']
14680495	4.95	4.86	7	basic	['datawarrior', 'chembl25']
213	4.87	4.92	0	basic	['datawarrior']
194	5.62	5.45	0	basic	['datawarrior']
1226596	8.23	8.78	11	basic	['chembl25']
1924	3.23	4.17	2	acidic	['datawarrior']
2695	3.98	4.06	2	acidic	['datawarrior']
914875	7.15	9.23	5	acidic	['chembl25']
6242	6.22	2.33	6	basic	['datawarrior']
6243	3.39	2.33	6	basic	['datawarrior']
6985	8.4	9.61	0	basic	['datawarrior']
340	4.2	4.08	2	acidic	['datawarrior']
4595	4.9	3.6	2	acidic	['datawarrior']
2572	3.23	3.32	2	acidic	['datawarrior']
7331	2.63	2.44	2	acidic	['datawarrior']
832004	7.96	6.98	16	acidic	['chembl25']
830947	8.03	6.88	15	acidic	['chembl25']
2004751	5.58	4.25	8	basic	['chembl25']
7605	3.6	4.09	2	acidic	['datawarrior']
840398	8.04	6.93	15	acidic	['chembl25']
624987	7.6	7.3	11	basic	['chembl25']
2008967	8.6	9.86	33	basic	['chembl25']
18124781	3.4	4.0	28	acidic	['chembl25']
18124780	3.4	4.05	7	acidic	['chembl25']
18124778	4.3	4.06	7	acidic	['chembl25']
5818	9.95	9.22	22	basic	['datawarrior']
867300	4.51	4.76	9	acidic	['chembl25']
3485	5.35	4.74	2	acidic	['datawarrior']
538049	10.74	10.35	2	basic	['chembl25']
545717	10.92	11.75	2	basic	['chembl25']
7756	10.0	11.16	5	basic	['datawarrior']
15720609	8.49	7.99	23	basic	['chembl25']
498	9.16	7.81	7	acidic	['datawarrior']
805	9.25	8.74	10	acidic	['datawarrior']
397	11.25	8.88	7	acidic	['datawarrior']
2624	10.1	6.49	0	acidic	['datawarrior']
7402	10.75	11.07	0	acidic	['datawarrior']
15720608	8.2	7.97	23	basic	['chembl25']
5068	8.3	8.09	0	basic	['datawarrior']
1282096	7.3	7.21	13	acidic	['chembl25']
4361	7.12	4.87	2	basic	['datawarrior']
2130	7.3	7.21	3	acidic	['datawarrior']
2692	7.44	7.58	6	acidic	['datawarrior']
2652	9.5	8.3	6	acidic	['datawarrior']
1120000	8.4	7.59	5	acidic	['chembl25']
794	8.85	8.14	6	acidic	['datawarrior']
4055	4.68	3.56	3	acidic	['datawarrior']
7366	2.39	2.93	2	acidic	['datawarrior']
3483	9.32	9.38	2	acidic	['datawarrior']
15104782	9.4	8.5	5	acidic	['datawarrior', 'chembl25']
1834	11.8	9.07	2	acidic	['datawarrior']
3489	11.13	9.85	3	acidic	['datawarrior']
4072	5.79	4.59	2	acidic	['datawarrior']
358	10.79	9.19	2	acidic	['datawarrior']
5236	6.83	6.96	16	basic	['datawarrior']
6149	6.23	6.7	8	basic	['datawarrior']
4911	9.69	11.78	2	acidic	['datawarrior']
4619	10.25	11.89	8	acidic	['datawarrior']
7736	7.9	6.16	4	acidic	['datawarrior']
610	4.4	3.23	2	acidic	['datawarrior']
2348	2.88	2.91	3	acidic	['datawarrior']
603	4.63	4.5	2	acidic	['datawarrior']
2846	4.19	4.14	2	acidic	['datawarrior']
2778	7.82	6.6	2	acidic	['datawarrior']
1397	10.21	8.12	2	acidic	['datawarrior']
3531	4.82	4.64	2	acidic	['datawarrior']
8049761	8.338333	8.2	5	acidic	['datawarrior', 'chembl25']
2599432	9.24	9.13	3	acidic	['chembl25']
1835	9.94	8.43	3	acidic	['datawarrior']
2583	9.46	8.42	3	acidic	['datawarrior']
1845	6.09	7.03	6	acidic	['datawarrior']
1841	9.07	7.83	2	acidic	['datawarrior']
2191	10.15	10.89	3	acidic	['datawarrior']
2190	10.0	10.89	3	acidic	['datawarrior']
3641	9.94	10.85	3	acidic	['datawarrior']
7635	3.57	4.03	2	acidic	['datawarrior']
529	8.69	9.21	3	acidic	['datawarrior']
7610	8.245	8.59	2	acidic	['datawarrior']
7708	9.935	10.47	3	acidic	['datawarrior']
1954431	4.9875	5.56	7	acidic	['chembl25']
1954432	6.6	8.14	7	acidic	['chembl25']
7335	6.12	7.67	2	acidic	['datawarrior']
370	4.63	4.32	2	acidic	['datawarrior']
2596	4.66	4.48	2	acidic	['datawarrior']
1918	9.66	9.65	7	basic	['datawarrior']
484	8.95	8.53	5	basic	['datawarrior']
4476	6.66	6.86	5	basic	['datawarrior']
15459470	6.655	5.56	7	acidic	['chembl25']
2691	3.16	3.93	2	acidic	['datawarrior']
12171663	9.3	8.2	12	basic	['chembl25']
7450	8.73	8.55	4	acidic	['datawarrior']
4356	2.01	2.6	6	basic	['datawarrior']
4350	3.52	4.34	8	basic	['datawarrior']
4353	4.62	4.69	10	basic	['datawarrior']
276258	4.2	3.72	11	basic	['chembl25']
2131	7.4	6.91	3	acidic	['datawarrior']
16560799	8.83	8.37	4	acidic	['chembl25']
4446	8.36	9.05	4	acidic	['datawarrior']
6584	7.32	6.87	3	acidic	['datawarrior']
4543	3.21	3.89	2	acidic	['datawarrior']
1568	7.1	7.2	8	basic	['datawarrior']
1983285	6.7	7.29	6	basic	['chembl25']
2952	7.94	7.82	8	basic	['datawarrior']
2369	5.26	5.49	11	basic	['datawarrior']
3699	2.23	2.98	12	acidic	['datawarrior']
782	2.5	3.13	11	acidic	['datawarrior']
4555	2.94	3.67	10	acidic	['datawarrior']
5759	3.2	3.72	15	acidic	['datawarrior']
1983282	7.1	5.63	11	basic	['chembl25']
1983280	10.1	9.61	11	basic	['chembl25']
1983281	9.4	9.38	11	basic	['chembl25']
1983284	7.1	7.09	11	basic	['chembl25']
1983283	8.0	7.36	11	basic	['chembl25']
4144	7.5	9.81	2	basic	['datawarrior']
2400922	7.6	8.95	3	basic	['chembl25']
271355	4.1	3.13	10	basic	['chembl25']
276266	2.5	3.04	11	basic	['chembl25']
14680488	4.09	4.84	3	basic	['datawarrior', 'chembl25']
7575	8.1	11.22	1	acidic	['datawarrior']
1606	5.8	4.69	2	acidic	['datawarrior']
900681	3.6	3.77	7	acidic	['chembl25']
7671	9.28	9.16	6	basic	['datawarrior']
7748	9.5	10.07	0	acidic	['datawarrior']
5609	9.0	9.27	8	acidic	['datawarrior']
12642721	5.4	8.11	12	acidic	['chembl25']
12642717	5.46	8.36	12	acidic	['chembl25']
12642718	5.62	8.37	20	acidic	['chembl25']
12642720	5.66	8.38	12	acidic	['chembl25']
12642724	6.03	8.16	12	acidic	['chembl25']
12642723	5.62	7.91	12	acidic	['chembl25']
12642725	5.93	8.49	12	acidic	['chembl25']
14680417	4.23	4.14	10	basic	['chembl25']
16560801	9.58	8.88	3	acidic	['chembl25']
2258	4.8	4.28	3	acidic	['datawarrior']
3506510	6.7	8.3	17	basic	['chembl25']
3506509	6.4	8.13	17	basic	['chembl25']
3515889	6.7	8.69	17	basic	['chembl25']
3378396	7.85	9.4	17	basic	['chembl25']
3515894	6.7	8.55	17	basic	['chembl25']
3506511	6.6	8.6	17	basic	['chembl25']
3515897	7.8	8.91	17	basic	['chembl25']
3378394	8.133333	9.31	17	basic	['chembl25']
3515873	7.2	9.03	17	basic	['chembl25']
3515879	8.1	9.3	17	basic	['chembl25']
3506514	7.05	8.01	17	basic	['chembl25']
13396670	8.9	9.09	17	basic	['chembl25']
18144945	8.6	9.09	21	basic	['chembl25']
18144948	6.9	7.27	2	basic	['chembl25']
18144946	6.7	7.19	21	basic	['chembl25']
18144947	6.7	7.27	2	basic	['chembl25']
18144944	8.2	9.91	20	basic	['chembl25']
14699140	7.51	6.37	16	basic	['chembl25']
4354	4.46	4.04	10	basic	['datawarrior']
16541650	9.543333	9.46	8	acidic	['datawarrior', 'chembl25']
994855	9.49	6.97	18	acidic	['chembl25']
1026295	9.49	8.08	19	acidic	['chembl25']
1020177	9.49	7.99	18	acidic	['chembl25']
6666	5.87	9.39	9	acidic	['datawarrior']
6453	5.46	7.45	9	acidic	['datawarrior']
2160	10.02	10.27	3	acidic	['datawarrior']
4540	6.08	6.21	0	acidic	['datawarrior']
14699108	7.42	4.09	18	acidic	['chembl25']
5541	5.6	5.78	9	basic	['datawarrior']
2688698	8.91	5.76	18	basic	['chembl25']
2688705	9.94	8.64	1	basic	['chembl25']
2688708	11.55	8.49	1	basic	['chembl25']
5542	4.7	6.1	11	basic	['datawarrior']
2688694	5.51	4.48	8	basic	['chembl25']
4449	9.38	9.24	9	acidic	['datawarrior']
1023963	9.38	8.08	20	acidic	['chembl25']
5543	3.0	5.21	7	basic	['datawarrior']
5540	4.4	5.89	10	basic	['datawarrior']
1584	4.44	4.38	7	basic	['datawarrior']
1903	8.31	8.64	7	basic	['datawarrior']
1170	9.27	9.17	9	basic	['datawarrior']
1309	9.7	6.15	8	acidic	['datawarrior']
3383	9.88	8.92	6	basic	['datawarrior']
3381	10.29	9.61	10	basic	['datawarrior']
206735	10.3	10.43	18	acidic	['chembl25']
205466	10.48	10.43	17	acidic	['chembl25']
209038	8.05	8.18	18	acidic	['chembl25']
212505	10.22	10.22	16	acidic	['chembl25']
2656	8.3	8.41	6	basic	['datawarrior']
184911	8.65	8.18	17	acidic	['chembl25']
4331	6.97	6.53	7	basic	['datawarrior']
7512	8.19	7.69	4	acidic	['datawarrior']
12058171	4.6	4.62	31	basic	['chembl25']
12058160	7.7	7.7	31	basic	['chembl25']
2511072	9.54	9.66	3	basic	['chembl25']
2511090	8.72	8.79	17	basic	['chembl25']
578041	7.95	9.1	1	basic	['chembl25']
6961	9.69	9.11	10	acidic	['datawarrior']
2495	3.3	2.62	7	basic	['datawarrior']
6263	3.77	3.22	12	acidic	['datawarrior']
3216054	3.5	3.42	12	acidic	['chembl25']
2689	8.27	8.79	6	basic	['datawarrior']
4218	8.88	8.96	10	acidic	['datawarrior']
2140	9.7	8.1	4	acidic	['datawarrior']
5082	9.01	8.05	6	acidic	['datawarrior']
4322	8.98	8.16	6	acidic	['datawarrior']
528	11.56	9.58	6	acidic	['datawarrior']
156	11.85	9.94	6	acidic	['datawarrior']
599	3.72	3.78	2	acidic	['datawarrior']
4286	3.0	3.3	8	acidic	['datawarrior']
625	3.8	3.99	11	acidic	['datawarrior']
14699135	6.12	6.36	15	basic	['chembl25']
14693915	2.385	3.01	7	basic	['datawarrior', 'chembl25']
4852	5.85	5.38	9	acidic	['datawarrior']
6649	6.94	7.66	3	acidic	['datawarrior']
14606525	5.86	7.44	7	acidic	['datawarrior', 'chembl25']
1392	7.9	7.79	9	acidic	['datawarrior']
1445	5.33	6.02	0	acidic	['datawarrior']
596	3.84	3.91	2	acidic	['datawarrior']
1741	3.61	3.39	8	basic	['datawarrior']
6272	3.75	3.22	3	acidic	['datawarrior']
1372	9.12	8.92	8	acidic	['datawarrior']
609	4.15	4.12	2	acidic	['datawarrior']
1752	2.31	2.56	6	basic	['datawarrior']
1391	10.37	9.14	6	acidic	['datawarrior']
3116	3.32	3.82	6	basic	['datawarrior']
3106	3.6	3.1	8	basic	['datawarrior']
160	3.6	2.69	6	basic	['datawarrior']
2958	5.03	3.35	6	basic	['datawarrior']
4414	11.06	11.7	7	acidic	['datawarrior']
1667	11.56	11.77	2	acidic	['datawarrior']
7347	2.97	2.87	5	acidic	['datawarrior']
845377	7.99	6.94	13	acidic	['chembl25']
2187	3.99	2.95	2	acidic	['datawarrior']
2201	2.29	3.07	2	acidic	['datawarrior']
7711	2.37	2.4	2	acidic	['datawarrior']
1898	3.97	2.87	2	acidic	['datawarrior']
452	3.95	2.57	2	acidic	['datawarrior']
7383	7.75	7.89	5	basic	['datawarrior']
10868915	4.4	4.0	4	acidic	['chembl25']
3534	4.4	4.45	12	acidic	['datawarrior']
2186	3.7	2.92	2	acidic	['datawarrior']
3216127	4.386667	4.42	4	acidic	['datawarrior', 'chembl25']
10994389	4.0	4.01	4	acidic	['chembl25']
2211959	4.6	3.74	4	acidic	['chembl25']
10868873	4.0	3.47	4	acidic	['chembl25']
10994403	4.7	4.42	4	acidic	['chembl25']
10994398	6.9	4.66	4	acidic	['chembl25']
3216070	4.307	3.88	4	acidic	['datawarrior', 'chembl25']
10994396	4.5	3.96	4	acidic	['chembl25']
14680849	6.25	4.69	4	acidic	['chembl25']
14680848	6.2	4.86	4	acidic	['chembl25']
1359	5.21	4.08	3	acidic	['datawarrior']
2627	9.86	10.91	3	acidic	['datawarrior']
3671	9.3	8.86	6	basic	['datawarrior']
2648	4.04	2.78	2	acidic	['datawarrior']
4690	3.95	2.97	2	acidic	['datawarrior']
4922	4.8	4.45	2	acidic	['datawarrior']
6083	3.7	3.96	2	acidic	['datawarrior']
3233	5.15	4.06	3	acidic	['datawarrior']
1873	9.92	11.04	3	acidic	['datawarrior']
2576	2.66	3.27	2	acidic	['datawarrior']
2593	2.3	3.51	2	acidic	['datawarrior']
3185	11.77	8.64	3	acidic	['datawarrior']
2369551	8.0	7.9	7	basic	['chembl25']
7609	5.04	4.93	2	acidic	['datawarrior']
311228	3.57	4.26	16	acidic	['chembl25']
408	5.8	6.02	1	basic	['datawarrior']
2369555	9.2	9.67	7	basic	['chembl25']
6080	4.4	4.0	2	acidic	['datawarrior']
1837	2.54	3.46	2	acidic	['datawarrior']
354	5.01	5.08	2	acidic	['datawarrior']
719	3.8	2.69	7	basic	['datawarrior']
2638	10.84	10.65	0	basic	['datawarrior']
2575	4.83	5.15	2	acidic	['datawarrior']
1836	4.88	5.19	2	acidic	['datawarrior']
4621	11.22	10.3	0	acidic	['datawarrior']
2369556	8.7	10.1	6	basic	['chembl25']
2369552	6.7	8.55	6	basic	['chembl25']
2369553	7.9	8.55	6	basic	['chembl25']
7421	10.17	9.92	0	basic	['datawarrior']
748	4.17	5.17	0	basic	['datawarrior']
496175	9.68	9.96	10	basic	['chembl25']
561	10.71	10.28	0	acidic	['datawarrior']
565	10.69	10.27	0	acidic	['datawarrior']
657921	10.765	10.65	4	basic	['datawarrior', 'chembl25']
2192	10.1	8.61	4	acidic	['datawarrior']
2040	9.22	8.65	0	basic	['datawarrior']
2625159	10.0	9.38	4	basic	['chembl25']
4684	7.6	8.39	10	basic	['datawarrior']
3815	9.12	9.41	1	basic	['datawarrior']
3727	9.33	9.35	1	basic	['datawarrior']
1036	9.54	9.77	1	basic	['datawarrior']
2369554	7.6	7.66	8	basic	['chembl25']
4409	11.34	10.96	0	basic	['datawarrior']
498405	9.63	9.96	4	basic	['chembl25']
500987	9.73	9.96	4	basic	['chembl25']
872372	9.2	9.76	4	basic	['chembl25']
15446306	9.735	9.76	4	basic	['chembl25']
871123	9.7	9.63	4	basic	['chembl25']
486	10.11	10.06	3	basic	['datawarrior']
899016	9.3	9.74	4	basic	['chembl25']
877119	9.3	9.76	4	basic	['chembl25']
2511076	9.92	9.76	4	basic	['chembl25']
3216142	9.226	9.76	4	basic	['datawarrior', 'chembl25']
1852	8.31	9.8	1	basic	['datawarrior']
4408	7.15	5.01	0	basic	['datawarrior']
6036	3.66	3.86	12	acidic	['datawarrior']
6527	3.76	2.92	3	acidic	['datawarrior']
1013472	9.8	8.08	23	acidic	['chembl25']
1833	3.49	3.97	2	acidic	['datawarrior']
4056	4.36	4.5	2	acidic	['datawarrior']
7487	11.14	10.02	0	acidic	['datawarrior']
3609	9.24	7.75	3	basic	['datawarrior']
14564404	5.9	9.34	8	basic	['chembl25']
6364	7.03	9.22	10	basic	['datawarrior']
6815	7.15	9.34	10	basic	['datawarrior']
5589	11.82	10.66	11	acidic	['datawarrior']
4662	4.97	4.82	0	basic	['datawarrior']
6947	2.21	4.36	4	acidic	['datawarrior']
6223	3.42	3.02	2	acidic	['datawarrior']
3486	4.36	4.22	2	acidic	['datawarrior']
2062774	8.6	9.02	15	basic	['datawarrior', 'chembl25']
4387	4.95	4.82	0	basic	['datawarrior']
