pKa	marvin_pKa	marvin_atom	marvin_pKa_type	original_dataset	SMILES
7.6	7.3	10	basic	['chembl25']	C#CCOc1noc2c1CNCC2
9.53	9.97	9	basic	['datawarrior']	C#C[C@]1(O)C[C@@H](C)N(C)[C@@H]2CCCC[C@H]21
8.99	9.97	9	basic	['datawarrior']	C#C[C@]1(O)C[C@@H](C)N(C)[C@H]2CCCC[C@@H]21
9.73	10.05	9	basic	['datawarrior']	C#C[C@]1(O)C[C@@H](C)N[C@@H]2CCCC[C@H]21
9.29	10.05	9	basic	['datawarrior']	C#C[C@]1(O)C[C@@H](C)N[C@H]2CCCC[C@@H]21
9.22	9.97	9	basic	['datawarrior']	C#C[C@]1(O)C[C@H](C)N(C)[C@@H]2CCCC[C@H]21
9.63	10.05	9	basic	['datawarrior']	C#C[C@]1(O)C[C@H](C)N[C@@H]2CCCC[C@H]21
9.18	9.5	1	acidic	['datawarrior']	C#N
7.47	8.1	12	basic	['chembl25']	C(=C/c1ccccc1)\CN1CCN(C(c2ccccc2)c2ccccc2)CC1
5.97	5.29	0	basic	['datawarrior']	C(=C/c1ccncc1)\c1ccccc1
5.77	5.29	0	basic	['datawarrior']	C(=C\c1ccncc1)\c1ccccc1
4.55	2.67	0	basic	['datawarrior']	C(=N/c1ccccc1)\c1ccccc1
6.3	7.91	0	basic	['datawarrior']	C(=Nc1ccccc1)Nc1ccccc1
3.05	3.32	6	acidic	['datawarrior']	C/C(=C/Cl)C(=O)O
4.03	3.62	6	acidic	['datawarrior']	C/C(=C\Cl)C(=O)O
2.67	2.8	2	acidic	['datawarrior']	C/C=C/C#CC(=O)O
4.72	4.98	2	acidic	['datawarrior']	C/C=C/CCC(=O)O
11.0	8.51	6	basic	['chembl25']	C/C=C/CN(C1=NCCN1)c1c(Br)cccc1Br
8.07	7.0	14	acidic	['chembl25']	C/C=C/COC[n+]1ccn(C)c1C=NO
7.7	7.3	11	basic	['chembl25']	C/C=C/COc1noc2c1CNCC2
8.5	7.58	15	basic	['datawarrior']	C/C=C1/CN2[C@@H]3C[C@H]1C1[C@@H](O)[C@]4(C[C@@H]12)c1ccccc1N(C)[C@@H]34
8.04	7.0	14	acidic	['chembl25']	C/C=C\COC[n+]1ccn(C)c1C=NO
6.42	6.41	3	basic	['datawarrior']	C/N=C(/SC)c1ccccc1
10.23	7.95	3	basic	['datawarrior']	C/N=c1/oc2c(n1C)CCCC2
10.0	10.01	3	basic	['datawarrior']	C/N=c1/sc2c(n1C)CCCC2
9.97	10.08	3	basic	['datawarrior']	C/N=c1/scc(C)n1C
9.1	8.72	0	basic	['datawarrior']	C1=C(c2ccccc2)C2CCN1CC2
8.92	8.26	8	basic	['datawarrior']	C1=C(c2ccco2)C2CCN1CC2
7.23	6.74	11	basic	['datawarrior']	C1=C(c2nc3ccccc3o2)C2CCN1CC2
7.4	6.87	11	basic	['datawarrior']	C1=C(c2nc3ccccc3s2)C2CCN1CC2
9.82	10.45	0	basic	['datawarrior']	C1=CN2CCC1CC2
6.48	4.45	3	basic	['chembl25']	C1=NC(c2ccccc2)NC1
6.99	5.96	1	basic	['chembl25']	C1=NCNC1
7.94	8.63	1	basic	['datawarrior']	C1CC2CC1NN2
11.0	10.33	7	basic	['chembl25']	C1CC2CCC1CN2
11.74	10.96	0	basic	['datawarrior']	C1CC2CCCN2C1
6.05	9.34	0	basic	['datawarrior']	C1CCC(C2=NCCC2)CC1
10.8	11.65	0	basic	['datawarrior']	C1CCC(C2CCCN2)CC1
10.7	10.91	0	basic	['datawarrior']	C1CCC(N2CCCC2)CC1
10.95	10.48	0	basic	['datawarrior']	C1CCC2CNCCC2C1
10.9	10.66	0	basic	['datawarrior']	C1CCC2NCCCC2C1
10.94	10.66	4	basic	['datawarrior', 'chembl25']	C1CCCNCC1
10.78	10.69	0	basic	['datawarrior']	C1CCCNCCC1
7.16	7.19	1	basic	['datawarrior']	C1CCN(N2CCCC2)C1
7.09	7.72	1	basic	['datawarrior']	C1CCN(N2CCCCC2)CC1
6.79	7.19	1	basic	['datawarrior']	C1CCN2CCCCN2C1
11.285	11.4	3	basic	['datawarrior', 'chembl25']	C1CCNC1
11.18	10.4	3	basic	['datawarrior', 'chembl25']	C1CCNCC1
6.12	4.38	1	basic	['datawarrior']	C1CCc2c(nnc3c2CCCC3)C1
6.03	4.38	1	basic	['datawarrior']	C1CCc2nnc3c(c2CC1)CCCC3
5.88	6.79	5	basic	['datawarrior']	C1CN(CC2CO2)CCO1
6.05	8.03	0	basic	['datawarrior']	C1CN1
11.04	10.9	0	basic	['datawarrior']	C1CN2CCC1CC2
7.95	6.33	1	basic	['datawarrior']	C1CN2CCCN2C1
9.44	9.8	6	basic	['datawarrior']	C1CN2CC[C@@H]3OC[C@H]1[C@@H]32
11.7	9.51	0	basic	['datawarrior']	C1CN=C2NCCC2C1
10.995	10.76	2	basic	['datawarrior', 'chembl25']	C1CNC1
9.26	7.11	4	basic	['chembl25']	C1COC(=NC(C2CC2)C2CC2)N1
8.4825	8.5	5	basic	['datawarrior', 'chembl25']	C1COCCN1
9.55	8.63	8	acidic	['datawarrior']	C1COCCOCc2n[nH]c(n2)COCCOCCO1
9.05	9.33	5	basic	['datawarrior']	C1CSCCN1
6.31	8.6	3	basic	['datawarrior']	C1CSCN1
5.01	7.32	4	basic	['datawarrior']	C1OC1CN(CC1CO1)CC1CO1
7.6	7.3	11	basic	['chembl25']	C=C(Br)COc1noc2c1CNCC2
7.72	6.98	15	basic	['datawarrior']	C=C(C(=O)O[C@H]1C[C@@H]2[C@@H]3O[C@@H]3[C@H](C1)N2C)c1ccccc1
9.37	9.25	11	basic	['datawarrior']	C=C(C)C(=O)NC(C)(C)CCN(C)C
8.51	8.72	9	basic	['datawarrior']	C=C(C)C(=O)NC(C)CN(C)C
9.25	9.29	9	basic	['datawarrior']	C=C(C)C(=O)NCCCN(C)C
8.54	8.5	8	basic	['datawarrior']	C=C(C)C(=O)NCCN(C)C
9.37	9.04	8	basic	['datawarrior']	C=C(C)C(=O)NCCN(CC)CC
4.66	4.66	2	acidic	['datawarrior']	C=C(C)C(=O)O
7.96	8.64	9	basic	['datawarrior']	C=C(C)C(=O)OC(C)CN(C)C
8.65	9.2	9	basic	['datawarrior']	C=C(C)C(=O)OC(C)CN(CC)CC
9.62	10.13	9	basic	['datawarrior']	C=C(C)C(=O)OCCCN
8.7	9.22	8	basic	['datawarrior']	C=C(C)C(=O)OCCN
8.77	9.52	8	basic	['datawarrior']	C=C(C)C(=O)OCCN(C(C)C)C(C)C
8.06	8.41	8	basic	['datawarrior']	C=C(C)C(=O)OCCN(C)C
8.27	8.92	8	basic	['datawarrior']	C=C(C)C(=O)OCCN(C)CCCC
8.66	8.96	8	basic	['datawarrior']	C=C(C)C(=O)OCCN(CC)CC
8.96	9.3	8	basic	['datawarrior']	C=C(C)C(=O)OCCNC
9.13	9.47	8	basic	['datawarrior']	C=C(C)C(=O)OCCNC(C)C
9.15	9.38	8	basic	['datawarrior']	C=C(C)C(=O)OCCNCC
8.91	9.66	8	basic	['datawarrior']	C=C(C)C(=O)OCCNCC(C)C
9.12	9.52	8	basic	['datawarrior']	C=C(C)C(=O)OCCNCCCC
3.42	4.03	2	acidic	['datawarrior']	C=C(C)C(C)(C(N)=O)C(=O)O
8.0	8.85	2	basic	['datawarrior']	C=C(C)C(N)O
7.91	7.21	15	acidic	['chembl25']	C=C(C)CC(OC[n+]1ccn(C)c1C=NO)C(=C)C
10.9	8.76	7	basic	['chembl25']	C=C(C)CCN(C1=NCCN1)c1c(Br)cccc1Br
8.03	6.98	15	acidic	['chembl25']	C=C(C)CCOC[n+]1ccn(C)c1C=NO
10.71	8.54	6	basic	['chembl25']	C=C(C)CN(C1=NCCN1)c1c(Br)cccc1Br
7.99	7.18	14	acidic	['chembl25']	C=C(C)COC[n+]1ccn(C)c1C=NO
4.6	4.35	18	acidic	['datawarrior']	C=C(C)[C@@H]1CN(C(C)=O)C(C(=O)OC)[C@@H]1CC(=O)O
3.5	2.8	14	acidic	['chembl25']	C=C(CC)C(=O)c1ccc(OCC(=O)O)c(Cl)c1Cl
4.8	4.95	2	acidic	['datawarrior']	C=C(CCCC)C(=O)O
2.55	2.72	5	acidic	['datawarrior']	C=C(F)C(=O)O
9.4	9.82	13	basic	['chembl25']	C=C(F)CN(CC)C(=O)[C@@]1(c2cccs2)C[C@H]1CN
3.38	3.63	2	acidic	['datawarrior']	C=C(OC)C(=O)O
3.4	4.34	8	acidic	['datawarrior']	C=C(SC1CCCCC1)C(=O)O
8.35	9.22	20	basic	['datawarrior']	C=C1[C@@H]2CC3C4N5C[C@]6(C)C[C@@H](OC(C)=O)[C@H](OC(C)=O)[C@]47C6[C@@H]5C[C@]3([C@H]1OC(C)=O)[C@@]7(O)C2
4.55	4.64	2	acidic	['datawarrior']	C=C=C(C)C(C)(C)C(=O)O
3.96	3.76	2	acidic	['datawarrior']	C=C=CC(=O)O
8.03	6.9	14	acidic	['chembl25']	C=C=CCOC[n+]1ccn(C)c1C=NO
3.41	3.99	2	acidic	['datawarrior']	C=CC#CCC(=O)O
9.39	9.25	10	basic	['datawarrior']	C=CC(=O)NC(C)(C)CCN(C)C
10.09	9.81	10	basic	['datawarrior']	C=CC(=O)NC(C)(C)CCN(CC)CC
9.23	9.29	8	basic	['datawarrior']	C=CC(=O)NCCCN(C)C
4.25	4.52	2	acidic	['datawarrior']	C=CC(=O)O
8.25	8.41	1	basic	['datawarrior', 'chembl25']	C=CC(=O)OCCN(C)C
8.55	8.96	7	basic	['datawarrior']	C=CC(=O)OCCN(CC)CC
11.3	10.39	0	basic	['datawarrior']	C=CC(C)(C)N(C)C(C)(C)C
10.1	9.5	0	basic	['datawarrior']	C=CC(C)(C)NC(C)(C)C=C
10.8	10.31	0	basic	['datawarrior']	C=CC(C)(C)NC(C)(C)CC
4.88	4.42	0	basic	['datawarrior']	C=CC(C)(C)Nc1ccccc1
9.67	9.96	4	basic	['chembl25']	C=CC(C)(C)OCC(O)CNC(C)(C)C
7.94	7.27	15	acidic	['chembl25']	C=CC(C)(C)OC[n+]1ccn(C)c1C=NO
11.3	10.31	0	basic	['datawarrior']	C=CC(C)(CC)N(C)C(C)C
4.57	4.47	0	basic	['datawarrior']	C=CC(C)Nc1ccccc1
7.99	7.19	14	acidic	['chembl25']	C=CC(CCC)OC[n+]1ccn(C)c1C=NO
3.5	3.77	0	acidic	['chembl25']	C=CC12C=c3cc(OCC(=O)O)c(Cl)c(Cl)c3=C1CC(=O)CC2
10.6	8.53	4	basic	['datawarrior']	C=CC1CN2CCC1CC2C(=O)O
8.1	9.52	11	basic	['datawarrior']	C=CCC(C)(CN(CC)CC)OC(=O)CC(C)C
8.5	9.52	10	basic	['datawarrior']	C=CCC(C)(CN(CC)CC)OC(=O)CCC
7.8	9.52	12	basic	['datawarrior']	C=CCC(C)(CN(CC)CC)OC(=O)c1ccccc1
9.85	9.52	8	basic	['datawarrior']	C=CCC(C)(CN(CC)CC)OC(C)=O
9.71	10.07	5	basic	['datawarrior']	C=CCC(C)(O)CN(CC)CC
4.74	7.73	12	acidic	['chembl25']	C=CCC1(C(C)C#CCC)C(=O)NC(=O)N(C)C1=O
6.1	7.57	4	acidic	['datawarrior']	C=CCC1(CC=C)SC(=O)NC1=O
4.68	4.89	2	acidic	['datawarrior']	C=CCCC(=O)O
11.2	8.72	14	basic	['chembl25']	C=CCCN(C1=NCCN1)c1c(Br)cccc1Br
7.97	7.06	14	acidic	['chembl25']	C=CCCOC[n+]1ccn(C)c1C=NO
9.74	9.66	0	basic	['datawarrior']	C=CCN
8.72	9.05	0	basic	['datawarrior']	C=CCN(C)C
8.18	9.41	1	basic	['chembl25']	C=CCN(C)CCCCCCOc1ccc(C(=O)c2ccc(Br)cc2)cc1
7.39	8.05	8	basic	['datawarrior']	C=CCN(C)CCOC(=O)C(=C)C
10.7	8.47	13	basic	['chembl25']	C=CCN(C1=NCCN1)c1c(Br)cccc1Br
10.42	8.17	13	basic	['chembl25']	C=CCN(C1=NCCN1)c1c(Cl)cccc1Cl
8.2	8.87	4	basic	['datawarrior']	C=CCN(CC(C)O)CC(C)O
9.5	9.82	12	basic	['chembl25']	C=CCN(CC)C(=O)[C@@]1(c2ccsc2)C[C@H]1CN
6.16	7.57	4	basic	['datawarrior']	C=CCN(CC1CO1)CC1CO1
9.4	9.82	0	basic	['chembl25']	C=CCN(CC=C)C(=O)[C@@]1(c2cccs2)C[C@H]1CN
8.31	8.23	0	basic	['datawarrior']	C=CCN(CC=C)CC=C
7.02	7.7	8	basic	['datawarrior']	C=CCN(CC=C)CCOC(=O)C(=C)C
9.66	9.41	0	basic	['datawarrior']	C=CCN1CCCCC1
7.05	7.13	5	basic	['datawarrior']	C=CCN1CCOCC1
9.35	9.15	0	basic	['datawarrior']	C=CCNCC=C
4.17	4.54	0	basic	['datawarrior']	C=CCNc1ccccc1
8.04	7.08	13	acidic	['chembl25']	C=CCOC[n+]1ccn(C)c1C=NO
4.45	4.36	2	acidic	['datawarrior']	C=CCOc1ccc(C(=O)O)cc1
9.523333	9.66	3	basic	['chembl25']	C=CCOc1ccccc1OCC(O)CNC(C)C
7.5	7.3	10	basic	['chembl25']	C=CCOc1noc2c1CNCC2
10.5	7.04	4	acidic	['datawarrior']	C=CCc1c(C)[nH]n(C)c1=O
10.0	9.94	5	acidic	['datawarrior']	C=CCc1ccc(O)c(OC)c1
9.527143	9.66	3	basic	['datawarrior', 'chembl25']	C=CCc1ccccc1OCC(O)CNC(C)C
9.56	6.83	11	acidic	['chembl25']	C=CCn1cc(C=NO)[n+](C)c1
9.33	6.46	8	acidic	['chembl25']	C=CCn1cc(C=NO)[n+](C)c1SC
10.25	8.64	3	acidic	['datawarrior']	C=C[C@@H]1CNC(=S)O1
9.98	10.17	9	basic	['datawarrior']	C=C[C@]1(O)C[C@@H](C)N[C@@H]2CCCC[C@H]21
9.51	10.17	9	basic	['datawarrior']	C=C[C@]1(O)C[C@@H](C)N[C@H]2CCCC[C@@H]21
9.83	10.17	9	basic	['datawarrior']	C=C[C@]1(O)C[C@H](C)N[C@@H]2CCCC[C@H]21
5.67	5.56	0	basic	['datawarrior']	C=Cc1ccc(C)nc1
9.91	9.56	0	acidic	['datawarrior']	C=Cc1ccc(O)cc1
4.95	4.86	7	basic	['datawarrior', 'chembl25']	C=Cc1ccccn1
4.87	4.92	0	basic	['datawarrior']	C=Cc1cccnc1
5.62	5.45	0	basic	['datawarrior']	C=Cc1ccncc1
8.23	8.78	11	basic	['chembl25']	C=Cc1noc(C2=CCCNC2)n1
3.23	4.17	2	acidic	['datawarrior']	C=NC(=O)CC(C)C(=O)O
3.98	4.06	2	acidic	['datawarrior']	C=NC(=O)CCC(=O)O
7.15	9.23	5	acidic	['chembl25']	C=NC(=O)CCc1cccc2c(=Nc3ccc(NS(C)(=O)=O)cc3OC)c3ccccc3[nH]c12
6.22	2.33	6	basic	['datawarrior']	C=c1[nH]cc(C)c(=CNCCCCCC)c1=O
3.39	2.33	6	basic	['datawarrior']	C=c1[nH]cc(C)c(=C[NH2+]CCCCCC)c1=O
8.4	9.61	0	basic	['datawarrior']	C=c1cc(C)c(=Cc2[nH]c(C)cc2C)[nH]1
4.2	4.08	2	acidic	['datawarrior']	CC#C/C=C/C(=O)O
4.9	3.6	2	acidic	['datawarrior']	CC#CC#CC=C=C[C@@H](O)CCC(=O)O
3.23	3.32	2	acidic	['datawarrior']	CC#CC#CCC(=O)O
2.63	2.44	2	acidic	['datawarrior']	CC#CC(=O)O
7.96	6.98	16	acidic	['chembl25']	CC#CC(C)(C)OC[n+]1ccn(C)c1C=NO
8.03	6.88	15	acidic	['chembl25']	CC#CC(C)OC[n+]1ccn(C)c1C=NO
5.58	4.25	8	basic	['chembl25']	CC#CC(O)c1c(C)nc2c3c(c(C(=O)N(C)C)cn12)CCC(c1ccccc1)O3
3.6	4.09	2	acidic	['datawarrior']	CC#CCC(=O)O
8.04	6.93	15	acidic	['chembl25']	CC#CCCOC[n+]1ccn(C)c1C=NO
7.6	7.3	11	basic	['chembl25']	CC#CCOc1noc2c1CNCC2
8.6	9.86	33	basic	['chembl25']	CC#CCn1c(N2CCC[C@@H](N)C2)nc2c1c(=O)n(Cc1nc(C)c3ccccc3n1)c(=O)n2C
3.4	4.0	28	acidic	['chembl25']	CC#C[C@@H](CC(=O)O)c1ccc(OCc2ccc(CN3CCCc4cccc(OC)c43)s2)cc1
3.4	4.05	7	acidic	['chembl25']	CC#C[C@@H](CC(=O)O)c1ccc(OCc2ccc(N3CCC4(CCc5ccccc54)CC3)s2)cc1
4.3	4.06	7	acidic	['chembl25']	CC#C[C@@H](CC(=O)O)c1ccc(OCc2ccc3nc(-c4c(C)cccc4C)nn3c2)cc1
9.95	9.22	22	basic	['datawarrior']	CC#C[C@H](C)Oc1cc(N)c(Cl)cc1C(=O)N[C@@H]1C[C@H]2CC[C@@H](C1)N2C
4.51	4.76	9	acidic	['chembl25']	CC1=C(/C=C/C(C)=C/C=C/C(C)=CC(=O)O)C(C)(C)CCC1
5.35	4.74	2	acidic	['datawarrior']	CC(=CC(=O)O)Cc1ccccc1
10.74	10.35	2	basic	['chembl25']	CC(=N)N1C2CC(OC(=O)C(CO)c3ccccc3)CC1C1OC12
10.92	11.75	2	basic	['chembl25']	CC(=N)N1C2CCC1CC(OC(=O)C(CO)c1ccccc1)C2
10.0	11.16	5	basic	['datawarrior']	CC(=N)NN(C)C
8.49	7.99	23	basic	['chembl25']	CC(=NCc1ccc(F)cc1)Nc1ccc2c(c1)[C@@H](NC(=O)c1ccc(Br)cc1)[C@H](O)C2
9.16	7.81	7	acidic	['datawarrior']	CC(=NO)C(=O)CO
9.25	8.74	10	acidic	['datawarrior']	CC(=NO)C(=O)c1ccccc1
11.25	8.88	7	acidic	['datawarrior']	CC(=NO)C(C)=NO
10.1	6.49	0	acidic	['datawarrior']	CC(=NO)C(CO)=NO
10.75	11.07	0	acidic	['datawarrior']	CC(=NO)NO
8.2	7.97	23	basic	['chembl25']	CC(=Nc1ccc(F)cc1)Nc1ccc2c(c1)[C@@H](NC(=O)c1ccc(Br)cc1)[C@H](O)C2
8.3	8.09	0	basic	['datawarrior']	CC(=Nc1ccccc1)Nc1ccccc1
7.3	7.21	13	acidic	['chembl25']	CC(=O)/N=c1/sc(S(N)(=O)=O)nn1C
7.12	4.87	2	basic	['datawarrior']	CC(=O)/N=c1\ccccn1C
7.3	7.21	3	acidic	['datawarrior']	CC(=O)/N=c1\sc(S(N)(=O)=O)nn1C
7.44	7.58	6	acidic	['datawarrior']	CC(=O)C(=NO)C(C)=O
9.5	8.3	6	acidic	['datawarrior']	CC(=O)C(=NO)C(C)C
8.4	7.59	5	acidic	['chembl25']	CC(=O)C(=NO)c1ccc(Sc2cc(F)cc(C3CCOCC3)c2)cc1
8.85	8.14	6	acidic	['datawarrior']	CC(=O)C(=NO)c1ccccc1
4.68	3.56	3	acidic	['datawarrior']	CC(=O)C(=O)CC(=O)C(C)=O
2.39	2.93	2	acidic	['datawarrior']	CC(=O)C(=O)O
9.32	9.38	2	acidic	['datawarrior']	CC(=O)C(C(C)=O)c1ccccc1
9.4	8.5	5	acidic	['datawarrior', 'chembl25']	CC(=O)C(C)=NO
11.8	9.07	2	acidic	['datawarrior']	CC(=O)C(C)C(=O)C(C)C
11.13	9.85	3	acidic	['datawarrior']	CC(=O)C(C)C(=O)c1ccccc1
5.79	4.59	2	acidic	['datawarrior']	CC(=O)C(C)C(C)(C)C(=O)O
10.79	9.19	2	acidic	['datawarrior']	CC(=O)C(C)C(C)=O
6.83	6.96	16	basic	['datawarrior']	CC(=O)C(CCN1CCOCC1)(c1ccccc1)c1ccccc1
