pKa	marvin_pKa	marvin_atom	marvin_pKa_type	ISO_SMI	SMILES
3.385	3.47	12	acidic	CC(C)N(CCCCOCC(=O)[O-])c1cnc(-c2ccccc2)c(-c2ccccc2)n1	CC(C)N(CCCCOCC(=O)[O-])c1cnc(-c2ccccc2)c(-c2ccccc2)n1
6.3	4.83	5	basic	CC(C)Nc1nc(Nc2ccc(C(N)=O)cc2)c2sccc2n1	CC(C)Nc1nc(Nc2ccc(C(N)=O)cc2)c2sccc2n1
10.5	8.45	19	basic	CC(C)Oc1ccc(Cc2ccc(NC3=[NH+]CCN3)cc2)cc1	CC(C)Oc1ccc(Cc2ccc(NC3=[NH+]CCN3)cc2)cc1
8.7	10.0	3	basic	CC(C)[NH+](CCc1c(-c2ccccc2)nn2ccccc12)Cc1ccc(CCC(=O)N=O)cc1	CC(C)[NH+](CCc1c(-c2ccccc2)nn2ccccc12)Cc1ccc(CCC(=O)N=O)cc1
9.005	10.04	3	basic	CC(C)[NH+](CCc1c(C(C)(C)O)[nH]c2ccccc12)Cc1ccc(CCC(=O)N=O)cc1	CC(C)[NH+](CCc1c(C(C)(C)O)[nH]c2ccccc12)Cc1ccc(CCC(=O)N=O)cc1
8.66	10.13	3	basic	CC(C)[NH+](CCc1c[nH]c2ccccc12)Cc1ccc(CCC(=O)N=O)cc1	CC(C)[NH+](CCc1c[nH]c2ccccc12)Cc1ccc(CCC(=O)N=O)cc1
4.5	4.54	20	acidic	CC(C)n1c(/C=C/[C@H](O)C[C@H](O)CC(=O)[O-])c(-c2ccc(F)cc2)c2ccccc21	CC(C)n1c(/C=C/[C@H](O)C[C@H](O)CC(=O)[O-])c(-c2ccc(F)cc2)c2ccccc21
6.9	8.64	29	acidic	CC(NC(=O)c1ccccc1/N=C/c1c(O)ccc2ccccc12)c1ccccc1	CC(NC(=O)c1ccccc1/N=C/c1c(O)ccc2ccccc12)c1ccccc1
10.2	8.84	15	acidic	CC(c1cc2ccccc2s1)N(O)C(N)=O	CC(c1cc2ccccc2s1)N(O)C(N)=O
4.26	3.79	20	acidic	CC/C(=C(\c1ccccc1)c1ccc(/C=C/C(=O)[O-])cc1)c1ccccc1	CC/C(=C(\c1ccccc1)c1ccc(/C=C/C(=O)[O-])cc1)c1ccccc1
3.4	4.12	13	basic	CC1CCCN(C(=O)c2ccc(Nc3ccc(Cl)cc3)nc2)C1	CC1CCCN(C(=O)c2ccc(Nc3ccc(Cl)cc3)nc2)C1
7.6	7.4	5	acidic	CCC1(c2ccccc2)C(=O)NC(=O)N(C)C1=O	CCC1(c2ccccc2)C(=O)NC(=O)N(C)C1=O
5.3	5.83	21	basic	CCC1CCCCN1C(=O)c1cnc(Nc2ccc(C)nc2)c(Cl)c1	CCC1CCCCN1C(=O)c1cnc(Nc2ccc(C)nc2)c(Cl)c1
3.69	3.18	15	basic	CCCCC(=O)N1CCC(CNc2nc3c(s2)CCOc2ccc(F)cc2-3)CC1	CCCCC(=O)N1CCC(CNc2nc3c(s2)CCOc2ccc(F)cc2-3)CC1
8.52	9.37	21	basic	CCCCCCCCc1ccc(CCC([NH3+])(CO)CO)cc1	CCCCCCCCc1ccc(CCC([NH3+])(CO)CO)cc1
3.37	3.76	26	acidic	CCCCC[C@H](O)CC[C@@H]1[C@H]2Cc3cccc(OCC(=O)[O-])c3C[C@H]2C[C@H]1O	CCCCC[C@H](O)CC[C@@H]1[C@H]2Cc3cccc(OCC(=O)[O-])c3C[C@H]2C[C@H]1O
4.2	3.53	13	basic	CCN(CC)c1ncnc2c1cnn2C	CCN(CC)c1ncnc2c1cnn2C
5.8	4.33	2	basic	CCN(Cc1ccccc1)c1ccccc1	CCN(Cc1ccccc1)c1ccccc1
3.0	3.17	34	acidic	CCN1c2ccc(C#N)cc2N=C(c2ccc(C(=O)[O-])c(F)c2)c2cc3c(cc21)C(C)(C)CCC3(C)C	CCN1c2ccc(C#N)cc2N=C(c2ccc(C(=O)[O-])c(F)c2)c2cc3c(cc21)C(C)(C)CCC3(C)C
5.4	5.82	21	basic	CCNC(=O)OC1CCN(c2nncc3cc(OC)c(OC)cc23)CC1	CCNC(=O)OC1CCN(c2nncc3cc(OC)c(OC)cc23)CC1
8.5	8.81	13	basic	CCOC(=O)N1CCC(C)(C[NH+]2CCC3(CC2)CN(S(C)(=O)=O)c2ncccc23)CC1	CCOC(=O)N1CCC(C)(C[NH+]2CCC3(CC2)CN(S(C)(=O)=O)c2ncccc23)CC1
10.6	9.59	34	acidic	CCOC(=O)c1c(C)cc2nc(COC(=O)NCCO)n(-c3ccccc3S(=O)(=O)NC)c(=O)c2c1C	CCOC(=O)c1c(C)cc2nc(COC(=O)NCCO)n(-c3ccccc3S(=O)(=O)NC)c(=O)c2c1C
3.7	3.18	15	basic	CCOCC(=O)N1CCC(CNc2nc3c(s2)CCOc2ccc(F)cc2-3)CC1	CCOCC(=O)N1CCC(CNc2nc3c(s2)CCOc2ccc(F)cc2-3)CC1
8.356	7.51	15	acidic	CCOc1ccc2nc(S(N)(=O)=O)sc2c1	CCOc1ccc2nc(S(N)(=O)=O)sc2c1
7.9	7.81	14	acidic	CCS(=O)(=O)c1ccc(CC(=O)Nc2nc(-c3ccccc3)c(C(=O)c3ccccc3)s2)cc1	CCS(=O)(=O)c1ccc(CC(=O)Nc2nc(-c3ccccc3)c(C(=O)c3ccccc3)s2)cc1
9.2	8.86	26	acidic	CC[C@H](C(=O)NO)[C@H](C(=O)N1CCCC[C@H]1C(=O)NC)c1ccc(Cl)cc1	CC[C@H](C(=O)NO)[C@H](C(=O)N1CCCC[C@H]1C(=O)NC)c1ccc(Cl)cc1
10.6	9.78	11	acidic	CCc1cc(Br)ccc1S(=O)(=O)NCc1ccccc1	CCc1cc(Br)ccc1S(=O)(=O)NCc1ccccc1
4.8	3.96	12	basic	CCc1ccc(-c2cn3c([nH+]2)SCC3)cc1	CCc1ccc(-c2cn3c([nH+]2)SCC3)cc1
6.8	6.09	10	basic	CCc1ccc(-c2cnc(C)nc2NC2CCCC2)cc1	CCc1ccc(-c2cnc(C)nc2NC2CCCC2)cc1
5.8	4.93	12	acidic	CCc1ccc(/C=C2/SC(=S)[N-]C2=O)cc1	CCc1ccc(/C=C2/SC(=S)[N-]C2=O)cc1
3.9	3.36	24	basic	CCc1ccccc1N(CC)C(=O)C1CCN(c2ncnc3c2nc2n3CCCCC2)CC1	CCc1ccccc1N(CC)C(=O)C1CCN(c2ncnc3c2nc2n3CCCCC2)CC1
4.3	4.38	7	basic	CCc1ncnc(NC(CC)c2ccc(Oc3ccc(F)cc3)cc2)c1Br	CCc1ncnc(NC(CC)c2ccc(Oc3ccc(F)cc3)cc2)c1Br
8.3	8.31	21	acidic	CN(CCO)c1cc2c(=O)n(NS(C)(=O)=O)c(=O)[nH]c2cc1C(F)(F)F	CN(CCO)c1cc2c(=O)n(NS(C)(=O)=O)c(=O)[nH]c2cc1C(F)(F)F
8.4	11.1	11	acidic	CN(n1c(=O)[nH]c2cc(Cl)ccc2c1=O)S(C)(=O)=O	CN(n1c(=O)[nH]c2cc(Cl)ccc2c1=O)S(C)(=O)=O
6.2	5.62	28	basic	CN1C(=O)Cn2cc(C(=O)NCc3ccc(Cl)cc3)c(=O)c3cc(C[NH+]4CCOCC4)cc1c32	CN1C(=O)Cn2cc(C(=O)NCc3ccc(Cl)cc3)c(=O)c3cc(C[NH+]4CCOCC4)cc1c32
9.01	8.85	29	acidic	CN1C(=O)N(C[C@H](C(=O)NO)[C@@H](CC2CCCC2)C(=O)N2CCCCC2)C(=O)C1(C)C	CN1C(=O)N(C[C@H](C(=O)NO)[C@@H](CC2CCCC2)C(=O)N2CCCCC2)C(=O)C1(C)C
3.4	3.17	29	acidic	CN1c2ccc(C#N)cc2N=C(c2ccc(C(=O)[O-])c(F)c2)c2cc3c(cc21)C(C)(C)CCC3(C)C	CN1c2ccc(C#N)cc2N=C(c2ccc(C(=O)[O-])c(F)c2)c2cc3c(cc21)C(C)(C)CCC3(C)C
3.5	3.93	28	acidic	CN1c2ccc(C#N)cc2N=C(c2ccc(C(=O)[O-])cc2)c2cc3c(cc21)C(C)(C)CCC3(C)C	CN1c2ccc(C#N)cc2N=C(c2ccc(C(=O)[O-])cc2)c2cc3c(cc21)C(C)(C)CCC3(C)C
9.2	10.18	6	basic	CNC(=O)c1c(NCC2CCC3(CCC3)CC2)nc(C#N)nc1OC1CC(C)(C)[NH2+]C(C)(C)C1	CNC(=O)c1c(NCC2CCC3(CCC3)CC2)nc(C#N)nc1OC1CC(C)(C)[NH2+]C(C)(C)C1
10.7	9.06	15	basic	CNC(=O)c1c(NCC2CCC3(CCC3)CC2)nc(C#N)nc1OCC1CC[NH+](C)CC1	CNC(=O)c1c(NCC2CCC3(CCC3)CC2)nc(C#N)nc1OCC1CC[NH+](C)CC1
10.2	9.24	16	basic	CNC(=O)c1c(NCC2CCC3(CCC3)CC2)nc(C#N)nc1OCCC1CC[NH+](C)CC1	CNC(=O)c1c(NCC2CCC3(CCC3)CC2)nc(C#N)nc1OCCC1CC[NH+](C)CC1
8.6	9.4	19	basic	CNC(=O)c1ccc(Oc2ccc3c(c2)CC[NH+](C2CCC2)CC3)nc1	CNC(=O)c1ccc(Oc2ccc3c(c2)CC[NH+](C2CCC2)CC3)nc1
4.266667	2.59	14	basic	CNC(=O)c1ccccc1Nc1nc(Nc2ccc(N3CCOCC3)cc2OC)ncc1Cl	CNC(=O)c1ccccc1Nc1nc(Nc2ccc(N3CCOCC3)cc2OC)ncc1Cl
7.6	6.98	8	acidic	CNC(=O)c1nc(-c2ccc(Cl)c(S(=O)(=O)Nc3cccc(F)c3C)c2)cnc1N	CNC(=O)c1nc(-c2ccc(Cl)c(S(=O)(=O)Nc3cccc(F)c3C)c2)cnc1N
4.25	3.92	12	basic	CNc1nc2ccccc2n(C)c1=O	CNc1nc2ccccc2n(C)c1=O
2.9	3.12	8	acidic	COC(=O)/C=C/C(=O)[O-]	COC(=O)/C=C/C(=O)[O-]
6.0	6.56	14	basic	COC(=O)Cn1c(C[NH+]2CCC(Cc3ccccc3)CC2)nc2c1c(=O)n(C)c(=O)n2C	COC(=O)Cn1c(C[NH+]2CCC(Cc3ccccc3)CC2)nc2c1c(=O)n(C)c(=O)n2C
4.8	5.0	6	basic	COC(=O)c1ccc2[nH]cc(CN3CCCC4(CCN(c5nc(C)cc(C)n5)CC4)C3=O)c2c1	COC(=O)c1ccc2[nH]cc(CN3CCCC4(CCN(c5nc(C)cc(C)n5)CC4)C3=O)c2c1
4.2	4.28	18	basic	COCc1nc2ccccc2n1Cc1ccc(C(C)(C)C)cc1	COCc1nc2ccccc2n1Cc1ccc(C(C)(C)C)cc1
8.2	8.52	15	basic	COc1cc(C(C)=O)ccc1OCCC[NH+]1CCC(c2noc3cc(F)ccc23)CC1	COc1cc(C(C)=O)ccc1OCCC[NH+]1CCC(c2noc3cc(F)ccc23)CC1
8.25	8.64	14	basic	COc1cc(C(C)O)ccc1OCCC[NH+]1CCC(c2noc3cc(F)ccc23)CC1	COc1cc(C(C)O)ccc1OCCC[NH+]1CCC(c2noc3cc(F)ccc23)CC1
7.17	7.66	40	basic	COc1cc(CN(CC(=O)NCc2ccccc2Cl)S(=O)(=O)c2ccc(CN3CC[NH+](C)CC3)cc2)ccc1OCC(C)C	COc1cc(CN(CC(=O)NCc2ccccc2Cl)S(=O)(=O)c2ccc(CN3CC[NH+](C)CC3)cc2)ccc1OCC(C)C
4.0	3.86	19	acidic	COc1cc(Nc2ccccc2C(=O)[O-])cc(OC)c1	COc1cc(Nc2ccccc2C(=O)[O-])cc(OC)c1
8.9	9.45	23	basic	COc1cc2c(cc1OC)CN(c1cc(N)c3cc(OC)c(OC)cc3[nH+]1)CC2	COc1cc2c(cc1OC)CN(c1cc(N)c3cc(OC)c(OC)cc3[nH+]1)CC2
6.07	3.17	15	basic	COc1ccc(-c2c(C)nc3c(-c4ccccn4)cnn3c2N)cc1	COc1ccc(-c2c(C)nc3c(-c4ccccn4)cnn3c2N)cc1
9.1	9.84	1	basic	COc1ccc(-c2ccc(C(=O)Nc3ccc4c(c3)CCC(C[NH+](C)C)C4)cc2)cc1	COc1ccc(-c2ccc(C(=O)Nc3ccc4c(c3)CCC(C[NH+](C)C)C4)cc2)cc1
4.4	4.28	26	basic	COc1ccc(-c2cnc3c(-c4cccc5ncccc45)cnn3c2)cc1	COc1ccc(-c2cnc3c(-c4cccc5ncccc45)cnn3c2)cc1
5.2	4.11	11	basic	COc1ccc(-c2nc(Nc3ccc(F)cc3F)c3ccccc3n2)cc1OC	COc1ccc(-c2nc(Nc3ccc(F)cc3F)c3ccccc3n2)cc1OC
5.3	6.42	23	basic	COc1ccc(/C=C/C(=O)N2CCN(c3ccccn3)CC2)cc1	COc1ccc(/C=C/C(=O)N2CCN(c3ccccn3)CC2)cc1
7.5	8.33	8	acidic	COc1ccc(Br)c(C=O)c1O	COc1ccc(Br)c(C=O)c1O
8.1	9.01	30	basic	COc1ccc(C#CC(C)(C)[NH3+])cc1C(=O)c1ccc(Nc2ccc(F)cc2F)cc1	COc1ccc(C#CC(C)(C)[NH3+])cc1C(=O)c1ccc(Nc2ccc(F)cc2F)cc1
4.1	6.81	18	acidic	COc1ccc(C2=C([O-])c3ccccc3C2=O)cc1	COc1ccc(C2=C([O-])c3ccccc3C2=O)cc1
10.91	9.19	14	acidic	COc1ccc(CNC(=O)[C@@H](NC(=O)[C@H](Cc2ccc(OC)c(OC)c2)NC(=O)Cc2cccc(Oc3ccccc3)c2)C(C)C)c(O)c1	COc1ccc(CNC(=O)[C@@H](NC(=O)[C@H](Cc2ccc(OC)c(OC)c2)NC(=O)Cc2cccc(Oc3ccccc3)c2)C(C)C)c(O)c1
5.0	4.47	9	basic	COc1ccc(CNC(=O)c2c(C)nc3ccccn23)cc1	COc1ccc(CNC(=O)c2c(C)nc3ccccn23)cc1
4.9	4.77	12	basic	COc1ccc(N)c2ccccc12	COc1ccc(N)c2ccccc12
9.4	7.96	9	acidic	COc1ccc(N2CCOCC2)c2sc(NC(=O)N3CCC(C)(O)CC3)nc12	COc1ccc(N2CCOCC2)c2sc(NC(=O)N3CCC(C)(O)CC3)nc12
6.37	8.72	12	basic	COc1ccc(N2CCc3c(-n4ccc(N5CCNC5=O)n4)cc(C)nc32)c(C)c1	COc1ccc(N2CCc3c(-n4ccc(N5CCNC5=O)n4)cc(C)nc32)c(C)c1
8.3	8.32	10	acidic	COc1ccc(NS(=O)(=O)c2ccc(-n3cccn3)cc2)cc1OC	COc1ccc(NS(=O)(=O)c2ccc(-n3cccn3)cc2)cc1OC
6.5	5.4	18	basic	COc1ccc(Nc2ccc3ccccc3n2)cc1	COc1ccc(Nc2ccc3ccccc3n2)cc1
7.1	6.86	20	basic	COc1ccc(OC)c(CNc2ccc3nc(N)nc(N)c3c2Cl)c1	COc1ccc(OC)c(CNc2ccc3nc(N)nc(N)c3c2Cl)c1
7.32	7.93	18	basic	COc1ccc(OC)c(S(=O)(=O)N2CCC(CN3CC[NH+](Cc4ccc(F)cc4)CC3)CC2)c1	COc1ccc(OC)c(S(=O)(=O)N2CCC(CN3CC[NH+](Cc4ccc(F)cc4)CC3)CC2)c1
6.25	6.55	1	basic	COc1ccc(SC)c2c1C[C@@H]1[C@@H](C2)OCC[NH+]1C	COc1ccc(SC)c2c1C[C@@H]1[C@@H](C2)OCC[NH+]1C
5.6	5.62	14	basic	COc1ccc(SCCc2ccncc2)cc1	COc1ccc(SCCc2ccncc2)cc1
4.65	5.0	6	basic	COc1ccc2[nH]cc(CN3CCCC4(CCN(c5nc(C)cc(C)n5)CC4)C3=O)c2c1	COc1ccc2[nH]cc(CN3CCCC4(CCN(c5nc(C)cc(C)n5)CC4)C3=O)c2c1
8.3	9.44	17	basic	COc1ccc2c(c1)CN(C(=O)CC[NH+]1CCC(Cc3ccccc3)CC1)CCS2	COc1ccc2c(c1)CN(C(=O)CC[NH+]1CCC(Cc3ccccc3)CC1)CCS2
7.5	7.73	1	basic	COc1ccc2c(c1)C[NH+](C)CCS2	COc1ccc2c(c1)C[NH+](C)CCS2
3.8	5.4	11	basic	COc1ccc2nccc(-n3cc4c(n3)CCC(NC(=O)c3ccc5c(c3)NC(=O)CS5)C4)c2n1	COc1ccc2nccc(-n3cc4c(n3)CCC(NC(=O)c3ccc5c(c3)NC(=O)CS5)C4)c2n1
9.4	6.79	7	basic	COc1cccc(-c2cccc(CCC3(C)CC(=O)N(C)C(N)=[NH+]3)c2)c1	COc1cccc(-c2cccc(CCC3(C)CC(=O)N(C)C(N)=[NH+]3)c2)c1
5.3	5.97	12	basic	COc1cccc(-c2cnc(N)c(-c3ccc(C(N)=O)cc3)c2)c1	COc1cccc(-c2cnc(N)c(-c3ccc(C(N)=O)cc3)c2)c1
8.4	8.94	8	acidic	COc1cccc(-c2nnc3n(Cc4ccccc4Cl)c(=O)c4ccccc4n23)c1O	COc1cccc(-c2nnc3n(Cc4ccccc4Cl)c(=O)c4ccccc4n23)c1O
8.2	8.82	12	basic	COc1cccc(C(=O)Cn2cnc3c(C#N)c(N4CC[NH2+]CC4)n(CC=C(C)C)c3c2=O)c1	COc1cccc(C(=O)Cn2cnc3c(C#N)c(N4CC[NH2+]CC4)n(CC=C(C)C)c3c2=O)c1
3.41	3.43	18	acidic	COc1cccc(OC)c1-c1ccc(C[C@H](NC(=O)c2c(Cl)cccc2Cl)C(=O)[O-])cc1	COc1cccc(OC)c1-c1ccc(C[C@H](NC(=O)c2c(Cl)cccc2Cl)C(=O)[O-])cc1
5.522	3.66	14	basic	COc1cccc2[nH]cc(-c3ccnc(N)n3)c12	COc1cccc2[nH]cc(-c3ccnc(N)n3)c12
8.65	7.08	12	acidic	COc1ccccc1S(=O)(=O)Nc1ccc2c(c1)CN(C)C(=O)N2	COc1ccccc1S(=O)(=O)Nc1ccc2c(c1)CN(C)C(=O)N2
5.283333	4.6	5	basic	COc1ccnc(N2CCC3(CCCN(Cc4c[nH]c5ccccc45)C3=O)CC2)n1	COc1ccnc(N2CCC3(CCCN(Cc4c[nH]c5ccccc45)C3=O)CC2)n1
8.6	8.31	4	acidic	CS(=O)(=O)Nn1c(=O)[nH]c2cc(C(F)(F)F)c(N)cc2c1=O	CS(=O)(=O)Nn1c(=O)[nH]c2cc(C(F)(F)F)c(N)cc2c1=O
8.4	8.31	4	acidic	CS(=O)(=O)Nn1c(=O)[nH]c2cc(C(F)(F)F)c(N3CCCOCC3)cc2c1=O	CS(=O)(=O)Nn1c(=O)[nH]c2cc(C(F)(F)F)c(N3CCCOCC3)cc2c1=O
8.35	8.31	4	acidic	CS(=O)(=O)Nn1c(=O)[nH]c2cc(C(F)(F)F)c(N3CCOCC3)cc2c1=O	CS(=O)(=O)Nn1c(=O)[nH]c2cc(C(F)(F)F)c(N3CCOCC3)cc2c1=O
8.35	8.29	4	acidic	CS(=O)(=O)Nn1c(=O)[nH]c2cc(C(F)(F)F)ccc2c1=O	CS(=O)(=O)Nn1c(=O)[nH]c2cc(C(F)(F)F)ccc2c1=O
4.9	5.98	14	basic	CS(=O)(=O)c1ccc(-c2cnc(N)c(-c3ccc(C(F)(F)F)cc3)c2)cc1	CS(=O)(=O)c1ccc(-c2cnc(N)c(-c3ccc(C(F)(F)F)cc3)c2)cc1
4.8	5.89	14	basic	CS(=O)(=O)c1ccc(-c2cnc(N)c(-c3ccc(C(F)(F)F)nc3)c2)cc1	CS(=O)(=O)c1ccc(-c2cnc(N)c(-c3ccc(C(F)(F)F)nc3)c2)cc1
7.31	7.94	11	acidic	CS(=O)(=O)c1ccc(-c2nc3c(c(=O)[nH]2)COCC3)cc1	CS(=O)(=O)c1ccc(-c2nc3c(c(=O)[nH]2)COCC3)cc1
