pKa	marvin_pKa	marvin_atom	marvin_pKa_type	ISO_SMI	SMILES
4.87	4.35	22	acidic	CCCCC[C@H](O)/C=C/[C@@H]1[C@@H](O)CC(=O)[C@H]1CCCCCCC(=O)[O-]	CCCCC[C@H](O)/C=C/[C@H]1[C@H](CCCCCCC(=O)[O-])C(=O)C[C@@H]1O
9.0	8.36	15	basic	CCCCOc1ccc(C(=O)CC[NH+]2CCCCC2)cc1	CCCCOc1ccc(C(=O)CC[NH+]2CCCCC2)cc1
9.48	9.29	10	basic	CCCOC(=O)NCCC[NH+](C)C	CCCOC(=O)NCCC[NH+](C)C
7.72	7.55	6	basic	CCC[C@@H]1C[C@@H](C(=O)NC(C(C)Cl)[C@H]2O[C@H](SC)[C@H](O)[C@@H](O)[C@H]2O)[NH+](C)C1	CCC[C@@H]1C[C@@H](C(=O)NC(C(C)Cl)[C@H]2O[C@H](SC)[C@H](O)[C@@H](O)[C@H]2O)[NH+](C)C1
8.8	8.8	15	basic	CCN(C)C(=O)Oc1cccc(C(C)[NH+](C)C)c1	CCN(C)C(=O)Oc1cccc(C(C)[NH+](C)C)c1
9.66	9.48	21	basic	CCN(CC)C(=O)Nc1ccc(OCC(O)C[NH2+]C)c(C(C)=O)c1	CCN(CC)C(=O)Nc1ccc(OCC(O)C[NH2+]C)c(C(C)=O)c1
7.1	6.87	6	basic	CCOC(=O)C1=C[C@]2(CC)CCC[NH+]3CCc4c(n1c1ccccc41)[C@@H]32	CCOC(=O)C1=C[C@]2(CC)CCC[NH+]3CCc4c(n1c1ccccc41)[C@@H]32
5.4	7.83	7	basic	CCOC(=O)[C@@H]1CN(Cc2ccccc2)CC1C(F)(F)F	CCOC(=O)[C@@H]1CN(Cc2ccccc2)CC1C(F)(F)F
5.4	7.83	7	basic	CCOC(=O)[C@@H]1CN(Cc2ccccc2)C[C@@H]1C(F)(F)F	CCOC(=O)[C@@H]1CN(Cc2ccccc2)C[C@@H]1C(F)(F)F
9.3	8.27	2	basic	CC[NH+]1CCCC1CNC(=O)c1cc(S(=O)(=O)CC)c(N)cc1OC	CC[NH+]1CCCC1CNC(=O)c1cc(S(=O)(=O)CC)c(N)cc1OC
10.9	10.53	2	basic	CC[NH2+]C	CC[NH2+]C
8.28	8.22	19	basic	CN1c2ccccc2C(=O)N(CC[NH+](C)C)c2ccccc21	CN1c2ccccc2C(=O)N(CC[NH+](C)C)c2ccccc21
8.7	8.84	1	basic	COC(=O)[C@@H]1C2CCC(C[C@@H]1OC(=O)c1ccccc1)[NH+]2C	COC(=O)[C@@H]1C2CCC(C[C@@H]1OC(=O)c1ccccc1)[NH+]2C
8.15	9.04	1	basic	COC(=O)[C@@H]1[C@@H](O)C[C@@H]2CC[C@H]1[NH+]2C	COC(=O)[C@H]1[C@H]2CC[C@@H](C[C@@H]1O)[NH+]2C
6.0	9.38	16	basic	COC1C=CC(CN2C(=O)[C@H]3C([C@@H]4CCC[NH+]4[C@H]3c3ccc(C#N)cc3)[C@H]2CC(F)F)=CC1	COC1C=CC(CN2C(=O)[C@H]3C([C@H]2CC(F)F)[C@@H]2CCC[NH+]2[C@H]3c2ccc(C#N)cc2)=CC1
9.56	9.66	3	basic	COCCc1ccc(OC[C@H](O)C[NH2+]C(C)C)cc1	COCCc1ccc(OC[C@H](O)C[NH2+]C(C)C)cc1
8.4	8.44	13	basic	COc1cc(C[NH+]2CCC3(C=Cc4ccccc43)CC2)cc(OC)c1OC	COc1cc(C[NH+]2CCC3(C=Cc4ccccc43)CC2)cc(OC)c1OC
8.28	8.84	15	basic	COc1cc2c(cc1OC)[C@@]13CC[NH+]4CC5=CCOC6CC(=O)N2C1[C@@H]6[C@@H]5C[C@@H]43	COc1cc2c(cc1OC)[C@@]13CC[NH+]4CC5=CCOC6CC(=O)N2C1[C@@H]6[C@@H]5C[C@@H]43
4.7	3.63	14	acidic	COc1ccc(C(=O)CCC(=O)[O-])cc1	COc1ccc(C(=O)CCC(=O)[O-])cc1
9.99	10.04	11	basic	COc1ccc(C[C@H](C)[NH3+])cc1	COc1ccc(C[C@H](C)[NH3+])cc1
9.32	9.27	14	basic	COc1ccc(OC)c([C@H](O)[C@@H](C)[NH3+])c1	COc1ccc(OC)c([C@H](O)[C@@H](C)[NH3+])c1
8.7	7.67	11	basic	COc1ccc2[nH+]c(-c3ccccc3)cc(N)c2c1	COc1ccc2[nH+]c(-c3ccccc3)cc(N)c2c1
8.22	9.19	1	basic	COc1ccc2c3c1O[C@H]1[C@@H](O)C=CC4[C@@H](C2)[NH+](C)CC[C@@]341	COc1ccc2c3c1O[C@H]1[C@@H](O)C=CC4[C@@H](C2)[NH+](C)CC[C@@]341
9.23	10.06	13	basic	COc1ccc2c3c1O[C@H]1[C@@H](O)C=CC4[C@@H](C2)[NH2+]CC[C@@]341	COc1ccc2c3c1O[C@H]1[C@@H](O)C=CC4[C@@H](C2)[NH2+]CC[C@@]341
9.86	9.99	11	basic	COc1cccc(C[C@H](C)[NH3+])c1	COc1cccc(C[C@H](C)[NH3+])c1
3.86	3.79	4	acidic	C[C@@H](O)C(=O)[O-]	C[C@@H](O)C(=O)[O-]
9.05	9.37	10	basic	C[C@@H]([NH3+])[C@@H](O)c1ccccc1	C[C@@H]([NH3+])[C@@H](O)c1ccccc1
5.04	4.6	6	acidic	C[C@H](CCC(=O)[O-])C1CC[C@H]2C3[C@@H](O)C[C@@H]4C[C@H](O)CC[C@]4(C)[C@H]3CC[C@]12C	C[C@H](CCC(=O)[O-])C1CC[C@H]2C3[C@@H](O)C[C@@H]4C[C@H](O)CC[C@]4(C)[C@H]3CC[C@]12C
5.03	4.6	6	acidic	C[C@H](CCC(=O)[O-])C1CC[C@H]2C3[C@H](CC[C@]12C)[C@@]1(C)CC[C@@H](O)C[C@H]1C[C@H]3O	C[C@H](CCC(=O)[O-])C1CC[C@H]2C3[C@H](O)C[C@@H]4C[C@H](O)CC[C@]4(C)[C@H]3CC[C@]12C
3.86	3.79	4	acidic	C[C@H](O)C(=O)[O-]	C[C@H](O)C(=O)[O-]
9.94	10.01	9	basic	C[C@H]([NH3+])Cc1ccccc1	C[C@H]([NH3+])Cc1ccccc1
9.19	9.37	10	basic	C[C@H]([NH3+])[C@@H](O)c1ccccc1	C[C@H]([NH3+])[C@@H](O)c1ccccc1
8.7	9.76	1	basic	C[NH+](C)CC/C=C1\c2ccccc2COc2ccccc21	C[NH+](C)CC/C=C1\c2ccccc2COc2ccccc21
8.7	8.66	1	basic	C[NH+](C)CCCC#N	C[NH+](C)CCCC#N
9.5	9.78	1	basic	C[NH+](C)CCCCC#N	C[NH+](C)CCCCC#N
9.3	9.5	1	basic	C[NH+](C)CCCCS(=O)(=O)c1ccccc1	C[NH+](C)CCCCS(=O)(=O)c1ccccc1
9.4	9.65	1	basic	C[NH+](C)CCCCS(=O)c1ccccc1	C[NH+](C)CCCCS(=O)c1ccccc1
9.8	9.78	1	basic	C[NH+](C)CCCCSc1ccccc1	C[NH+](C)CCCCSc1ccccc1
9.3	9.29	1	basic	C[NH+](C)CCCNC(=O)c1ccccc1	C[NH+](C)CCCNC(=O)c1ccccc1
9.27	9.25	1	basic	C[NH+](C)CCCOc1nn(Cc2ccccc2)c2ccccc12	C[NH+](C)CCCOc1nn(Cc2ccccc2)c2ccccc12
8.5	8.5	1	basic	C[NH+](C)CCNC(=O)c1ccccc1	C[NH+](C)CCNC(=O)c1ccccc1
9.61	8.86	17	basic	C[NH+](C)CCOC1(c2ccccc2)CC2CCC1(C)C2(C)C	C[NH+](C)CCOC1(c2ccccc2)CC2CCC1(C)C2(C)C
10.195	9.69	1	basic	C[NH+]1[C@H]2CC[C@@H]1CC(O)C2	C[NH+]1[C@@H]2CC[C@H]1CC(O)C2
9.84	9.38	1	basic	C[NH+]1[C@H]2CC[C@@H]1CC(OC(=O)C(CO)c1ccccc1)C2	C[NH+]1[C@@H]2CC[C@H]1CC(OC(=O)C(CO)c1ccccc1)C2
9.84	9.38	1	basic	C[NH+]1[C@H]2CC[C@@H]1CC(OC(=O)[C@H](CO)c1ccccc1)C2	C[NH+]1[C@@H]2CC[C@H]1CC(OC(=O)[C@H](CO)c1ccccc1)C2
10.37	10.3	10	basic	C[NH2+]C(C)(C)Cc1ccccc1	C[NH2+]C(C)(C)Cc1ccccc1
10.45	10.04	11	basic	C[NH2+]C(C)Cc1ccccc1OC	C[NH2+]C(C)Cc1ccccc1OC
8.0	9.56	1	basic	C[NH2+]C1CCC(c2ccc(Cl)c(Cl)c2)c2ccccc21	C[NH2+]C1CCC(c2ccc(Cl)c(Cl)c2)c2ccccc21
9.99	10.21	9	basic	C[NH2+][C@@H](C)Cc1ccccc1	C[NH2+][C@@H](C)Cc1ccccc1
9.73	9.52	10	basic	C[NH2+][C@H](C)[C@@H](O)c1ccccc1	C[NH2+][C@H](C)[C@@H](O)c1ccccc1
9.9	9.95	24	basic	Cc1c(Cl)cccc1-n1ncc(C(=O)Nc2nccs2)c1C1CC[NH2+]CC1	Cc1c(Cl)cccc1-n1ncc(C(=O)Nc2nccs2)c1C1CC[NH2+]CC1
2.82	3.05	20	acidic	Cc1cc(=O)oc2cc(C3OC(C(=O)[O-])C(O)C(O)C3O)ccc12	Cc1cc(=O)oc2cc(C3OC(C(=O)[O-])C(O)C(O)C3O)ccc12
3.21	3.47	12	acidic	Cc1cc(Cl)ccc1O[C@H](C)C(=O)[O-]	Cc1cc(Cl)ccc1O[C@H](C)C(=O)[O-]
10.0	9.95	24	basic	Cc1ccc(-n2ncc(C(=O)Nc3nccs3)c2C2CC[NH2+]CC2)cc1C	Cc1ccc(-n2ncc(C(=O)Nc3nccs3)c2C2CC[NH2+]CC2)cc1C
7.6	9.73	10	basic	Cc1ccc(C)c(N2CC[NH+](C3C4CC5CC(C4)CC3C5)CC2)c1	Cc1ccc(C)c(N2CC[NH+](C3C4CC5CC(C4)CC3C5)CC2)c1
7.5	9.03	10	basic	Cc1ccc(C)c(N2CC[NH+](C3CCC(C)C3)CC2)c1	Cc1ccc(C)c(N2CC[NH+](C3CCC(C)C3)CC2)c1
7.16	9.25	10	basic	Cc1ccc(C)c(N2CC[NH+](C3CCCC(C)C3)CC2)c1	Cc1ccc(C)c(N2CC[NH+](C3CCCC(C)C3)CC2)c1
7.54	9.29	10	basic	Cc1ccc(C)c(N2CC[NH+](C3CCCCCC3)CC2)c1	Cc1ccc(C)c(N2CC[NH+](C3CCCCCC3)CC2)c1
10.0	9.95	23	basic	Cc1cccc(-n2ncc(C(=O)Nc3nccs3)c2C2CC[NH2+]CC2)c1	Cc1cccc(-n2ncc(C(=O)Nc3nccs3)c2C2CC[NH2+]CC2)c1
3.4	3.03	30	acidic	Cn1nnnc1SCC1CS[C@@H]2C(=NC(=O)[C@H](O)c3ccccc3)C(=O)N2C1C(=O)[O-]	Cn1nnnc1SCC1CS[C@@H]2C(=NC(=O)[C@H](O)c3ccccc3)C(=O)N2C1C(=O)[O-]
7.45	9.65	9	basic	FC(F)(F)c1cccc(N2CC[NH+](C3C4CC5CC(C4)CC3C5)CC2)c1	FC(F)(F)c1cccc(N2CC[NH+](C3C4CC5CC(C4)CC3C5)CC2)c1
7.5	7.76	2	basic	FC1(F)CCNC1	FC1(F)CCNC1
9.4	9.61	2	basic	FC1CC[NH2+]C1	FC1CC[NH2+]C1
8.8	8.77	10	basic	F[C@@H]1C[NH2+]CC[C@H]1Cc1ccccc1	F[C@@H]1C[NH2+]CC[C@H]1Cc1ccccc1
9.3	8.77	10	basic	F[C@H]1C[NH2+]CC[C@H]1Cc1ccccc1	F[C@H]1C[NH2+]CC[C@H]1Cc1ccccc1
4.0	5.09	3	basic	N#CC1CC(F)CN1	N#CC1CC(F)CN1
2.0	5.95	11	basic	N#Cc1ccc([C@H]2[C@H]3C(O)N(Cc4ccc(F)cc4)C(=O)[C@H]3[C@@H]3CC(F)(F)CN32)cc1	N#Cc1ccc([C@H]2[C@H]3C(O)N(Cc4ccc(F)cc4)C(=O)[C@H]3[C@@H]3CC(F)(F)CN32)cc1
8.76	9.17	20	basic	N#Cc1ccc2c(c1)N(CCCC[NH+]1CCC(O)CC1)c1ccccc1S2	N#Cc1ccc2c(c1)N(CCCC[NH+]1CCC(O)CC1)c1ccccc1S2
7.8	8.13	11	basic	NCCS(=O)(=O)c1ccccc1	NCCS(=O)(=O)c1ccccc1
8.1	7.69	10	basic	Nc1c2c([nH+]c3ccccc13)-c1ccccc1CC2	Nc1c2c([nH+]c3ccccc13)-c1ccccc1CC2
7.4	6.74	15	basic	Nc1cc(-c2ccccc2)[nH+]c2ccc(Br)cc12	Nc1cc(-c2ccccc2)[nH+]c2ccc(Br)cc12
7.4	6.72	15	basic	Nc1cc(-c2ccccc2)[nH+]c2ccc(Cl)cc12	Nc1cc(-c2ccccc2)[nH+]c2ccc(Cl)cc12
7.6	6.75	13	basic	O=C(CCC[NH+]1CC=C(n2c(=O)[nH]c3ccccc32)CC1)c1ccc(F)cc1	O=C(CCC[NH+]1CC=C(n2c(=O)[nH]c3ccccc32)CC1)c1ccc(F)cc1
3.3	4.26	17	acidic	O=C(N[C@H]1CCCC[C@H]1C(=O)[O-])c1ccccc1	O=C(N[C@H]1CCCC[C@H]1C(=O)[O-])c1ccccc1
2.64	2.81	12	acidic	O=C([O-])COc1ccc(Cl)cc1Cl	O=C([O-])COc1ccc(Cl)cc1Cl
3.62	3.39	7	acidic	O=C([O-])[C@H](O)[C@@H](O)[C@H](O)[C@H](O)CO	O=C([O-])[C@H](O)[C@@H](O)[C@H](O)[C@H](O)CO
2.9	3.04	19	acidic	O=C([O-])c1ccccc1-c1ncc(-c2ccccc2)o1	O=C([O-])c1ccccc1-c1ncc(-c2ccccc2)o1
3.4	2.9	22	acidic	O=C([O-])c1ccccc1C(=O)Nc1nc(-c2ccccc2)cs1	O=C([O-])c1ccccc1C(=O)Nc1nc(-c2ccccc2)cs1
4.09	3.88	8	acidic	O=C([O-])c1ccccc1Nc1cccc(C(F)(F)F)c1	O=C([O-])c1ccccc1Nc1cccc(C(F)(F)F)c1
2.32	3.09	9	acidic	O=C([O-])c1nc(Cl)ccc1Cl	O=C([O-])c1nc(Cl)ccc1Cl
8.4	8.18	3	basic	O=C1CCCN1CC#CC[NH+]1CCCC1	O=C1CCCN1CC#CC[NH+]1CCCC1
8.26	9.27	9	basic	O=C1C[C@@H]2OCC=C3C[NH+]4CC[C@]56c7ccccc7N1[C@H]5C2[C@H]3C[C@H]46	O=C1C[C@@H]2OCC=C3C[NH+]4CC[C@]56c7ccccc7N1[C@H]5C2[C@H]3C[C@H]46
5.4	5.27	7	basic	O=S1(=O)CCNCC1	O=S1(=O)CCNCC1
8.08	8.95	6	basic	[NH3+]C(CO)(CO)CO	[NH3+]C(CO)(CO)CO
10.4	10.13	14	basic	[NH3+]CCCCCS(=O)(=O)c1ccccc1	[NH3+]CCCCCS(=O)(=O)c1ccccc1
10.5	10.2	12	basic	[NH3+]CCCCCSc1ccccc1	[NH3+]CCCCCSc1ccccc1
10.0	10.12	13	basic	[NH3+]CCCCS(=O)(=O)c1ccccc1	[NH3+]CCCCS(=O)(=O)c1ccccc1
10.4	10.2	11	basic	[NH3+]CCCCSc1ccccc1	[NH3+]CCCCSc1ccccc1
9.2	9.36	12	basic	[NH3+]CCCS(=O)(=O)c1ccccc1	[NH3+]CCCS(=O)(=O)c1ccccc1
9.9	10.18	10	basic	[NH3+]CCCSc1ccccc1	[NH3+]CCCSc1ccccc1
9.0	9.5	9	basic	[NH3+]CCSc1ccccc1	[NH3+]CCSc1ccccc1
8.37	9.32	17	basic	[NH3+]Cc1cc(-c2ccccc2)nc2ccccc12	[NH3+]Cc1cc(-c2ccccc2)nc2ccccc12
9.0	8.88	9	basic	c1ccc(N2CC[NH2+]CC2)cc1	c1ccc(N2CC[NH2+]CC2)cc1
8.9	8.69	9	basic	c1cnc(N2CC[NH2+]CC2)nc1	c1cnc(N2CC[NH2+]CC2)nc1
